Date,DEXCHUS
2024-01-01,
2024-01-02,7.1426
2024-01-03,7.1497
2024-01-04,7.1589
2024-01-05,7.145
2024-01-08,7.154
2024-01-09,7.1675
2024-01-10,7.1711
2024-01-11,7.167
2024-01-12,7.1665
2024-01-15,
2024-01-16,7.1874
2024-01-17,7.196
2024-01-18,7.1961
2024-01-19,7.1931
2024-01-22,7.192
2024-01-23,7.172
2024-01-24,7.158
2024-01-25,7.169
2024-01-26,7.1763
2024-01-29,7.1798
2024-01-30,7.1755
2024-01-31,7.1673
2024-02-01,7.1799
2024-02-02,7.192
2024-02-05,7.1982
2024-02-06,7.1908
2024-02-07,7.1943
2024-02-08,7.1965
2024-02-09,7.1929
2024-02-12,7.1928
2024-02-13,7.1928
2024-02-14,7.1928
2024-02-15,7.1928
2024-02-16,7.1928
2024-02-19,
2024-02-20,7.1905
2024-02-21,7.1891
2024-02-22,7.1944
2024-02-23,7.197
2024-02-26,7.1972
2024-02-27,7.1977
2024-02-28,7.1976
2024-02-29,7.1977
2024-03-01,7.196
2024-03-04,7.1987
2024-03-05,7.1965
2024-03-06,7.1977
2024-03-07,7.1925
2024-03-08,7.1855
2024-03-11,7.182
2024-03-12,7.1804
2024-03-13,7.1875
2024-03-14,7.1932
2024-03-15,7.1953
2024-03-18,7.1981
2024-03-19,7.1991
2024-03-20,7.1992
2024-03-21,7.1993
2024-03-22,7.2289
2024-03-25,7.2102
2024-03-26,7.2176
2024-03-27,7.227
2024-03-28,7.2262
2024-03-29,7.2203
