날짜,시가총액,거래량,거래대금,상장주식수
2023-01-02,130840193700,18401,449478700,5485962
2023-01-03,128371510800,16664,387355900,5485962
2023-01-04,128645808900,4554,106355650,5485962
2023-01-05,128920107000,4523,106473500,5485962
2023-01-06,132760280400,25875,626005350,5485962
2023-01-09,135777559500,10073,247397750,5485962
2023-01-10,135503261400,13084,321499500,5485962
2023-01-11,135503261400,6135,151108500,5485962
2023-01-12,135228963300,3308,81559950,5485962
2023-01-13,134131770900,6541,160175550,5485962
2023-01-16,134131770900,3874,93938950,5485962
2023-01-17,133583174700,3337,81016750,5485962
2023-01-18,134131770900,4126,100284100,5485962
2023-01-19,134131770900,2532,61584200,5485962
2023-01-20,134406069000,3065,74810800,5485962
2023-01-25,135228963300,7590,186996700,5485962
2023-01-26,137971944300,13337,332731700,5485962
2023-01-27,137971944300,6219,156011400,5485962
2023-01-30,137149050000,7537,187891850,5485962
2023-01-31,135503261400,6270,155221200,5485962
2023-02-01,137697646200,7194,179162950,5485962
2023-02-02,137149050000,10055,252185350,5485962
2023-02-03,140989223400,13507,344580700,5485962
2023-02-06,138794838600,17926,463053950,5485962
2023-02-07,140166329100,7696,196752600,5485962
2023-02-08,142086415800,7359,190080900,5485962
2023-02-09,139892031000,6333,162739550,5485962
2023-02-10,139892031000,7081,179079800,5485962
2023-02-13,137149050000,7370,184170800,5485962
2023-02-14,138794838600,5852,147068100,5485962
2023-02-15,134954665200,7273,180502100,5485962
2023-02-16,137149050000,4856,120981750,5485962
2023-02-17,141537819600,49265,1290907150,5485962
2023-02-20,142635012000,15480,406719550,5485962
2023-02-21,142086415800,8680,227066400,5485962
2023-02-22,137697646200,11010,279141800,5485962
2023-02-23,135777559500,9566,237723250,5485962
2023-02-24,135777559500,7264,179178450,5485962
2023-02-27,132485982300,11355,274235800,5485962
2023-02-28,132760280400,6580,158525000,5485962
2023-03-02,132485982300,8602,207931650,5485962
2023-03-03,144829396800,663102,18719244750,5485962
2023-03-06,142635012000,62701,1627207300,5485962
2023-03-07,142635012000,42624,1117982000,5485962
2023-03-08,141812117700,24995,649654550,5485962
2023-03-09,141812117700,31629,829003550,5485962
2023-03-10,137971944300,26641,675494500,5485962
2023-03-13,137697646200,33723,829828250,5485962
2023-03-14,128645808900,24944,598020050,5485962
2023-03-15,131388789900,11822,281559500,5485962
2023-03-16,129468703200,12462,290382250,5485962
2023-03-17,130840193700,14272,338897800,5485962
2023-03-20,132485982300,11569,278572000,5485962
2023-03-21,130565895600,9574,229078300,5485962
2023-03-22,131937386100,17464,412727300,5485962
2023-03-23,128920107000,10330,242026100,5485962
2023-03-24,127548616500,7785,181417500,5485962
2023-03-27,127274318400,7270,168390200,5485962
2023-03-28,128920107000,18809,439707900,5485962
2023-03-29,136874751900,68457,1694920200,5485962
2023-03-30,136600453800,21976,550714250,5485962
2023-03-31,136874751900,11994,298475850,5485962
