news_title,news_category,news_date
"<유>유엔젤, 매수잔량 605% 급증",증권News봇,2020.03.31
"<유>유엔젤, 매도잔량 433% 급증",증권News봇,2020.03.30
"<유>유엔젤, 전일 대비 8.58% 상승.. 일일회전율은 2.54% 기록",증권News봇,2020.03.30
"<유>비상교육, 상한가 진입.. +29.92% ↑",증권News봇,2020.03.30
"<유>유엔젤, 매수잔량 656% 급증",증권News봇,2020.03.27
"<유>유엔젤, 전일 대비 10.20% 상승.. 일일회전율은 2.00% 기록",증권News봇,2020.03.27
"<유>유엔젤, 현재가 6.60% 급등",증권News봇,2020.03.27
"<유>유엔젤, 매도잔량 2228% 급증",증권News봇,2020.03.26
"<유>유엔젤, 전일 대비 15.88% 상승.. 일일회전율은 1.83% 기록",증권News봇,2020.03.26
"<유>유엔젤, 매도잔량 619% 급증",증권News봇,2020.03.26
"<유>유엔젤, 상한가 진입.. +29.83% ↑",증권News봇,2020.03.26
"<유>유엔젤, 전일 대비 7.41% 상승.. 일일회전율은 1.38% 기록",증권News봇,2020.03.20
"<유>갤럭시아에스엠, 하한가 진입.. -30.00% ↓",증권News봇,2020.03.19
"<유>AJ네트웍스, 하한가 진입.. -29.88% ↓",증권News봇,2020.03.19
"<유>유엔젤, 매도잔량 316% 급증",증권News봇,2020.03.19
"<유>유엔젤, 장중 신저가 기록.. 2,550→2,385(▼165)",증권News봇,2020.03.19
"<유>유엔젤, 매도잔량 301% 급증",증권News봇,2020.03.18
"<유>유엔젤, 매도잔량 448% 급증",증권News봇,2020.03.17
"<유>유엔젤, 매수잔량 374% 급증",증권News봇,2020.03.16
"<유>유엔젤, 매수잔량 513% 급증",증권News봇,2020.03.12
"<유>유엔젤, 매수잔량 446% 급증",증권News봇,2020.03.11
"<유>유엔젤, 매도잔량 340% 급증",증권News봇,2020.03.03
"<유>유엔젤, 4.85% 오르며 체결강도 강세 지속(178%)",증권News봇,2020.03.03
"<유>유엔젤, 3.09% 오르며 체결강도 강세 지속(104%)",증권News봇,2020.03.02
"<유>유엔젤, 매수잔량 582% 급증",증권News봇,2020.02.28
"<유>유엔젤, 매도잔량 318% 급증",증권News봇,2020.02.27
"<유>유엔젤, 4.60% 오르며 체결강도 강세 지속(153%)",증권News봇,2020.02.25
"<유>유엔젤, 4.60% 오르며 체결강도 강세 지속(165%)",증권News봇,2020.02.25
"<유>유엔젤, 3.79% 오르며 체결강도 강세 지속(198%)",증권News봇,2020.02.25
"<유>유엔젤, 매도잔량 461% 급증",증권News봇,2020.02.24
"<유>유엔젤, 매수잔량 385% 급증",증권News봇,2020.02.21
"<유>유엔젤, 4.44% 오르며 체결강도 강세 지속(177%)",증권News봇,2020.02.13
"<유>유엔젤, 3.46% 오르며 체결강도 강세 지속(138%)",증권News봇,2020.02.04
"<유>유엔젤, 3.04% 오르며 체결강도 강세 지속(158%)",증권News봇,2020.02.04
"<유>유엔젤, 3.15% 오르며 체결강도 강세 지속(189%)",증권News봇,2020.02.03
"<유>유엔젤, 3.36% 오르며 체결강도 강세 지속(191%)",증권News봇,2020.02.03
"<유>유엔젤, 3.15% 오르며 체결강도 강세 지속(250%)",증권News봇,2020.02.03
"<유>유엔젤, 매도잔량 683% 급증",증권News봇,2020.01.31
"<유>유엔젤, 매도잔량 347% 급증",증권News봇,2020.01.30
"<유>유엔젤, 3.19% 오르며 체결강도 강세 지속(132%)",증권News봇,2020.01.29
"<유>유엔젤, 3.03% 오르며 체결강도 강세 지속(137%)",증권News봇,2020.01.22
"<유>유엔젤, 3.03% 오르며 체결강도 강세 지속(161%)",증권News봇,2020.01.22
"<유>유엔젤, 3.22% 오르며 체결강도 강세 지속(224%)",증권News봇,2020.01.22
"<유>유엔젤, 3.15% 오르며 체결강도 강세로 반전(134%)",증권News봇,2020.01.15
"<유>유엔젤, 3.46% 오르며 체결강도 강세로 반전(110%)",증권News봇,2020.01.14
"<유>유엔젤, 3.01% 오르며 체결강도 강세로 반전(104%)",증권News봇,2020.01.10
"<유>유엔젤, 전일 대비 7.19% 상승.. 일일회전율은 3.75% 기록",증권News봇,2020.01.09
"<유>유엔젤, 3.55% 오르며 체결강도 강세 지속(164%)",증권News봇,2020.01.09
"<유>유엔젤, 3.65% 오르며 체결강도 강세 지속(310%)",증권News봇,2020.01.07
"<유>유엔젤, 3.29% 오르며 체결강도 강세 지속(128%)",증권News봇,2020.01.02
