rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분,bfefrmtrm_nm,bfefrmtrm_amount
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 15 기 반기말,1110214000000,제 14 기말,1078800000000,1,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 15 기 반기말,202207000000,제 14 기말,181246000000,2,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 15 기 반기말,492440000000,제 14 기말,466612000000,3,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,dart_ShortTermOtherReceivables,미수금 및 기타채권,-,제 15 기 반기말,34659000000,제 14 기말,35241000000,4,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 15 기 반기말,363938000000,제 14 기말,374560000000,5,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,-표준계정코드 미사용-,환불자산,-,제 15 기 반기말,548000000,제 14 기말,540000000,6,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 15 기 반기말,3711000000,제 14 기말,5092000000,7,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 15 기 반기말,12711000000,제 14 기말,15509000000,8,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 15 기 반기말,1378390000000,제 14 기말,1404929000000,9,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기대여금 및 장기수취채권,-,제 15 기 반기말,14951000000,제 14 기말,17926000000,10,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 15 기 반기말,12051000000,제 14 기말,10873000000,11,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 15 기 반기말,1077384000000,제 14 기말,1096652000000,12,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 15 기 반기말,318000000,제 14 기말,318000000,13,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 15 기 반기말,113727000000,제 14 기말,118705000000,14,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 15 기 반기말,58227000000,제 14 기말,52745000000,15,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 15 기 반기말,58642000000,제 14 기말,58073000000,16,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 15 기 반기말,664000000,제 14 기말,712000000,17,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,-표준계정코드 미사용-,순확정급여자산,-,제 15 기 반기말,42426000000,제 14 기말,48925000000,18,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 15 기 반기말,2488604000000,제 14 기말,2483729000000,19,KRW,,,,,연결,,
20230814000759,11012,2023,00759513,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 15 기 반기말,1052144000000,제 14 기말,1060606000000,21,KRW,,,,,연결,,
