투자자구분,매도,매수,순매수
금융투자,50240809600,121984542200,71743732600
보험,6292379800,4803933200,-1488446600
투신,8443982500,4810148800,-3633833700
사모,4441120200,5136912800,695792600
은행,2321816700,0,-2321816700
기타금융,561551700,724678900,163127200
연기금 등,123695119300,123638143900,-56975400
기관합계,195996779800,261098359800,65101580000
기타법인,9312004600,795887200,-8516117400
개인,382642240500,78440394000,-304201846500
외국인,172194672300,420927076700,248732404400
기타외국인,1379684900,263664400,-1116020500
전체,761525382100,761525382100,0
