투자자구분,매도,매수,순매수
금융투자,243857552300,253808896100,9951343800
보험,5132586500,10452399600,5319813100
투신,13490905800,11724735900,-1766169900
사모,14861991500,15219881500,357890000
은행,928200,69276100,68347900
기타금융,108906500,91225600,-17680900
연기금 등,922693732100,852503731200,-70190000900
기관합계,1200146602900,1143870146000,-56276456900
기타법인,4487307700,4255735500,-231572200
개인,276137729200,232004298900,-44133430300
외국인,393913192240,494832043240,100918851000
기타외국인,1209072100,931680500,-277391600
전체,1875893904140,1875893904140,0
