투자자구분,매도,매수,순매수
금융투자,151709230600,94357018200,-57352212400
보험,10497371500,11909075100,1411703600
투신,16206864500,16267738100,60873600
사모,35205634800,36074354300,868719500
은행,12228600,123590000,111361400
기타금융,42320100,303239100,260919000
연기금 등,308426440200,337297726900,28871286700
기관합계,522100090300,496332741700,-25767348600
기타법인,4104980500,8034746100,3929765600
개인,375102745300,167628255500,-207474489800
외국인,416182497182,641897709782,225715212600
기타외국인,1651082400,5247942600,3596860200
전체,1319141395682,1319141395682,0
