투자자구분,매도,매수,순매수
금융투자,28085860400,73775051900,45689191500
보험,4484543000,3047692800,-1436850200
투신,16799840900,3881341700,-12918499200
사모,10104223900,1566053500,-8538170400
은행,3053000,142300000,139247000
기타금융,733738400,5896200,-727842200
연기금 등,421963203200,360383908000,-61579295200
기관합계,482174462800,442802244100,-39372218700
기타법인,2142989200,1631627000,-511362200
개인,99439905200,111969362500,12529457300
외국인,205349138900,232640805700,27291666800
기타외국인,300548300,363005100,62456800
전체,789407044400,789407044400,0
