투자자구분,매도,매수,순매수
금융투자,69643422700,155616098800,85972676100
보험,7316346700,7889436500,573089800
투신,26443578200,21152029000,-5291549200
사모,14252126200,4534877700,-9717248500
은행,364398100,16747100,-347651000
기타금융,208060700,1220100,-206840600
연기금 등,328731726200,360672492000,31940765800
기관합계,446959658800,549882901200,102923242400
기타법인,9881445300,2845505000,-7035940300
개인,399972639600,126885526100,-273087113500
외국인,222836440500,400833551500,177997111000
기타외국인,999881600,202582000,-797299600
전체,1080650065800,1080650065800,0
