투자자구분,매도,매수,순매수
금융투자,287057656700,225401362100,-61656294600
보험,2934790200,9394579100,6459788900
투신,17810899200,12779269500,-5031629700
사모,12006851500,8840313100,-3166538400
은행,0,141100300,141100300
기타금융,3587519700,170873900,-3416645800
연기금 등,805429295700,728295079600,-77134216100
기관합계,1128827013000,985022577600,-143804435400
기타법인,2674501300,3513421400,838920100
개인,237081732800,221751797800,-15329935000
외국인,706072965538,864604939538,158531974000
기타외국인,1174505800,937982100,-236523700
전체,2075830718438,2075830718438,0
