투자자구분,매도,매수,순매수
금융투자,179597025100,141985437000,-37611588100
보험,9847238000,9260959300,-586278700
투신,16884119400,7875230300,-9008889100
사모,54768652500,10059592800,-44709059700
은행,5624581300,741888600,-4882692700
기타금융,2103400,67473800,65370400
연기금 등,589438533100,608329454200,18890921100
기관합계,856162252800,778320036000,-77842216800
기타법인,12248318500,4779089000,-7469229500
개인,337845647600,223735685000,-114109962600
외국인,529163683522,728137156622,198973473100
기타외국인,665287200,1113223000,447935800
전체,1736085189622,1736085189622,0
