투자자구분,매도,매수,순매수
금융투자,71832477700,122128513400,50296035700
보험,8989812200,7025178000,-1964634200
투신,29298649100,8478774900,-20819874200
사모,18407284300,12142099500,-6265184800
은행,185329700,361183000,175853300
기타금융,837264700,7031200,-830233500
연기금 등,845555265300,755375917000,-90179348300
기관합계,975106083000,905518697000,-69587386000
기타법인,4435771400,5407182100,971410700
개인,235582945000,209751151400,-25831793600
외국인,394498578300,488960781700,94462203400
기타외국인,617992900,603558400,-14434500
전체,1610241370600,1610241370600,0
