투자자구분,매도,매수,순매수
금융투자,264179766900,482499385400,218319618500
보험,17108768500,28299111100,11190342600
투신,75637478300,18625901900,-57011576400
사모,43296966700,3919757500,-39377209200
은행,86358300,221695700,135337400
기타금융,4288389500,88763600,-4199625900
연기금 등,862621482100,876060789100,13439307000
기관합계,1267219210300,1409715404300,142496194000
기타법인,14234044900,5776990000,-8457054900
개인,385322259800,325401705200,-59920554600
외국인,736061147800,662105899300,-73955248500
기타외국인,1339641200,1176305200,-163336000
전체,2404176304000,2404176304000,0
