투자자구분,매도,매수,순매수
금융투자,294459799800,460644088200,166184288400
보험,21510169900,32705773100,11195603200
투신,79149052300,32758624500,-46390427800
사모,38089236900,7392565100,-30696671800
은행,428584800,160029700,-268555100
기타금융,3923492500,41127800,-3882364700
연기금 등,846517139500,885774076200,39256936700
기관합계,1284077475700,1419476284600,135398808900
기타법인,20292534600,7203542700,-13088991900
개인,617153309800,302043645200,-315109664600
외국인,508493600000,702517897600,194024297600
기타외국인,1931312700,706862700,-1224450000
전체,2431948232800,2431948232800,0
