BPS,PER,PBR,EPS,DIV,DPS
50817,8.82,1.4,8057,2.03,1444
50817,8.68,1.38,8057,2.07,1444
50817,8.54,1.35,8057,2.1,1444
50817,8.48,1.34,8057,2.11,1444
50817,8.5,1.35,8057,2.11,1444
50817,8.39,1.33,8057,2.14,1444
50817,8.55,1.36,8057,2.1,1444
50817,8.44,1.34,8057,2.12,1444
50817,8.38,1.33,8057,2.14,1444
50817,8.35,1.32,8057,2.15,1444
50817,8.32,1.32,8057,2.16,1444
50817,8.28,1.31,8057,2.16,1444
50817,8.23,1.3,8057,2.18,1444
50817,8.27,1.31,8057,2.17,1444
50817,8.27,1.31,8057,2.17,1444
50817,8.33,1.32,8057,2.15,1444
50817,8.46,1.34,8057,2.12,1444
50817,8.33,1.32,8057,2.15,1444
50817,8.29,1.31,8057,2.16,1444
50817,8.29,1.31,8057,2.16,1444
50817,8.33,1.32,8057,2.15,1444
50817,8.3,1.32,8057,2.16,1444
