rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,연결구분,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount
20211115000025,11014,2021,00173740,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 54 기 3분기말,36009781675,제 53 기말,24265069216,1,KRW,,연결,,,,,
20211115000025,11014,2021,00173740,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 54 기 3분기말,5090300833,제 53 기말,565485520,2,KRW,,연결,,,,,
20211115000025,11014,2021,00173740,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융자산,-,제 54 기 3분기말,4345423453,제 53 기말,4353749135,3,KRW,,연결,,,,,
20211115000025,11014,2021,00173740,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 54 기 3분기말,421928889,제 53 기말,361105559,4,KRW,,연결,,,,,
20211115000025,11014,2021,00173740,BS,재무상태표,dart_ShortTermOtherReceivables,기타채권,-,제 54 기 3분기말,5366848217,제 53 기말,74995061,5,KRW,,연결,,,,,
20211115000025,11014,2021,00173740,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 54 기 3분기말,394474963,제 53 기말,390029201,6,KRW,,연결,,,,,
20211115000025,11014,2021,00173740,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 54 기 3분기말,10909910,제 53 기말,25519200,7,KRW,,연결,,,,,
20211115000025,11014,2021,00173740,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 54 기 3분기말,20379895410,제 53 기말,18494185540,8,KRW,,연결,,,,,
20211115000025,11014,2021,00173740,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 54 기 3분기말,72698697591,제 53 기말,89485786258,9,KRW,,연결,,,,,
20211115000025,11014,2021,00173740,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융자산,-,제 54 기 3분기말,3504500000,제 53 기말,3004500000,10,KRW,,연결,,,,,
20211115000025,11014,2021,00173740,BS,재무상태표,dart_NonCurrentFairValueFinancialAsset,당기손익-공정가치측정금융자산,-,제 54 기 3분기말,1394984000,제 53 기말,1743429000,11,KRW,,연결,,,,,
