Date,DEXUSUK
2020-01-01,
2020-01-02,1.3128
2020-01-03,1.3091
2020-01-06,1.3163
2020-01-07,1.3127
2020-01-08,1.311
2020-01-09,1.3069
2020-01-10,1.306
2020-01-13,1.2983
2020-01-14,1.3018
2020-01-15,1.303
2020-01-16,1.3076
2020-01-17,1.3029
2020-01-20,
2020-01-21,1.3047
2020-01-22,1.3136
2020-01-23,1.3104
2020-01-24,1.3071
2020-01-27,1.3054
2020-01-28,1.2996
2020-01-29,1.3012
2020-01-30,1.3106
2020-01-31,1.3195
2020-02-03,1.3006
2020-02-04,1.3029
2020-02-05,1.3
2020-02-06,1.2935
2020-02-07,1.2908
2020-02-10,1.2919
2020-02-11,1.2945
2020-02-12,1.2978
2020-02-13,1.3051
2020-02-14,1.3039
2020-02-17,
2020-02-18,1.3017
2020-02-19,1.2934
2020-02-20,1.2877
2020-02-21,1.2966
2020-02-24,1.2923
2020-02-25,1.3004
2020-02-26,1.2921
2020-02-27,1.2876
2020-02-28,1.2778
2020-03-02,1.2791
2020-03-03,1.2827
2020-03-04,1.2836
2020-03-05,1.2939
2020-03-06,1.301
2020-03-09,1.31
2020-03-10,1.2933
2020-03-11,1.2887
2020-03-12,1.2541
2020-03-13,1.2406
2020-03-16,1.2278
2020-03-17,1.2017
2020-03-18,1.176
2020-03-19,1.1662
2020-03-20,1.1743
2020-03-23,1.1492
2020-03-24,1.1784
2020-03-25,1.1763
2020-03-26,1.214
2020-03-27,1.236
2020-03-30,1.2392
2020-03-31,1.2454
2020-04-01,1.2394
2020-04-02,1.238
2020-04-03,1.2228
2020-04-06,1.2298
2020-04-07,1.2343
2020-04-08,1.2394
2020-04-09,1.2458
2020-04-10,1.2485
2020-04-13,1.2518
2020-04-14,1.2617
2020-04-15,1.2523
2020-04-16,1.2433
2020-04-17,1.2503
2020-04-20,1.2467
2020-04-21,1.2266
2020-04-22,1.2332
2020-04-23,1.2369
2020-04-24,1.2335
2020-04-27,1.2421
2020-04-28,1.2438
2020-04-29,1.2429
2020-04-30,1.2602
2020-05-01,1.2509
2020-05-04,1.243
2020-05-05,1.2449
2020-05-06,1.2347
2020-05-07,1.2349
2020-05-08,1.2436
2020-05-11,1.233
2020-05-12,1.2299
2020-05-13,1.2225
2020-05-14,1.2194
2020-05-15,1.2129
2020-05-18,1.2211
2020-05-19,1.2255
2020-05-20,1.2257
2020-05-21,1.2227
2020-05-22,1.2178
2020-05-25,
2020-05-26,1.2337
2020-05-27,1.2231
2020-05-28,1.2325
2020-05-29,1.232
2020-06-01,1.2472
2020-06-02,1.2531
2020-06-03,1.26
2020-06-04,1.2608
2020-06-05,1.2703
2020-06-08,1.2694
2020-06-09,1.2736
2020-06-10,1.2758
2020-06-11,1.2635
2020-06-12,1.2527
2020-06-15,1.2543
2020-06-16,1.2586
2020-06-17,1.2526
2020-06-18,1.243
2020-06-19,1.2362
2020-06-22,1.2447
2020-06-23,1.2531
2020-06-24,1.2432
2020-06-25,1.2406
2020-06-26,1.2337
2020-06-29,1.2279
2020-06-30,1.2369
2020-07-01,1.2474
2020-07-02,1.2469
2020-07-03,
2020-07-06,1.2482
2020-07-07,1.2572
2020-07-08,1.2593
2020-07-09,1.2614
2020-07-10,1.2654
2020-07-13,1.2614
2020-07-14,1.2546
2020-07-15,1.2586
2020-07-16,1.2621
2020-07-17,1.255
2020-07-20,1.2658
2020-07-21,1.2736
2020-07-22,1.2729
2020-07-23,1.2759
2020-07-24,1.2791
2020-07-27,1.2887
2020-07-28,1.295
2020-07-29,1.2974
2020-07-30,1.3035
2020-07-31,1.3133
