투자자구분,매도,매수,순매수
금융투자,112799301500,106089833000,-6709468500
보험,8206525600,6124229200,-2082296400
투신,17150259900,2433181700,-14717078200
사모,37231948900,9974968200,-27256980700
은행,365115100,641700,-364473400
기타금융,1222816200,3299900,-1219516300
연기금 등,440780049600,431523531600,-9256518000
기관합계,617756016800,556149685300,-61606331500
기타법인,5584797100,1838761400,-3746035700
개인,210561385300,127425106700,-83136278600
외국인,382621631700,531525193000,148903561300
기타외국인,652184700,237269200,-414915500
전체,1217176015600,1217176015600,0
