투자자구분,매도,매수,순매수
금융투자,7850002000,430223264400,422373262400
보험,21177557400,23159975500,1982418100
투신,17766214900,29853235500,12087020600
사모,22530475200,67233955500,44703480300
은행,960635200,77405100,-883230100
기타금융,107337300,231196100,123858800
연기금 등,684950540400,650596798000,-34353742400
기관합계,755342762400,1201375830100,446033067700
기타법인,24463670800,13406233800,-11057437000
개인,1151173504600,367188145700,-783985358900
외국인,326823611300,677089625400,350266014100
기타외국인,2624376100,1368090200,-1256285900
전체,2260427925200,2260427925200,0
