투자자구분,매도,매수,순매수
금융투자,36935424300,416408228000,379472803700
보험,21025005800,9585861500,-11439144300
투신,15080702200,42093028200,27012326000
사모,24591414500,116328137200,91736722700
은행,961219200,76932200,-884287000
기타금융,919473200,207534700,-711938500
연기금 등,587567070400,561690784400,-25876286000
기관합계,687080309600,1146390506200,459310196600
기타법인,21762099900,7751194700,-14010905200
개인,833368656300,278010374200,-555358282100
외국인,359624895000,471594460300,111969565300
기타외국인,2481393300,570818700,-1910574600
전체,1904317354100,1904317354100,0
