투자자구분,매도,매수,순매수
금융투자,110706277600,292962838800,182256561200
보험,29028587900,12427425500,-16601162400
투신,20468426200,34575801300,14107375100
사모,32963909000,85419569900,52455660900
은행,3606135500,103675000,-3502460500
기타금융,1411506900,878101000,-533405900
연기금 등,768778661700,758035570000,-10743091700
기관합계,966963504800,1184402981500,217439476700
기타법인,37481261500,23537459800,-13943801700
개인,1229880055800,668815908800,-561064147000
외국인,367549275500,726944697600,359395422100
기타외국인,3687450400,1860500300,-1826950100
전체,2605561548000,2605561548000,0
