투자자구분,매도,매수,순매수
금융투자,71399877200,328354124700,256954247500
보험,6663643200,22150939300,15487296100
투신,14498812300,11799840700,-2698971600
사모,18197305700,23136276000,4938970300
은행,2091875300,270831400,-1821043900
기타금융,370435600,487255000,116819400
연기금 등,459356467600,474461209100,15104741500
기관합계,572578416900,860660476200,288082059300
기타법인,9780776700,2619849600,-7160927100
개인,538083352400,144626734800,-393456617600
외국인,604073795517,717714082817,113640287300
기타외국인,1577319100,472517200,-1104801900
전체,1726093660617,1726093660617,0
