투자자구분,매도,매수,순매수
금융투자,51418396600,270824392000,219405995400
보험,9379336600,5914321200,-3465015400
투신,13516299300,10368827100,-3147472200
사모,17278391800,5289877700,-11988514100
은행,3161886100,2043145800,-1118740300
기타금융,104117500,1426853400,1322735900
연기금 등,361231193700,381973828000,20742634300
기관합계,456089621600,677841245200,221751623600
기타법인,67889897300,5587223700,-62302673600
개인,464188253000,218802147200,-245386105800
외국인,398593231300,485780791300,87187560000
기타외국인,1529764100,279359900,-1250404200
전체,1388290767300,1388290767300,0
