투자자구분,매도,매수,순매수
금융투자,65921531800,96283068400,30361536600
보험,4380067200,4184565700,-195501500
투신,3816483300,1324961900,-2491521400
사모,3393583800,7288455700,3894871900
은행,650700,259234200,258583500
기타금융,113508900,485494000,371985100
연기금 등,196099337000,199385058000,3285721000
기관합계,273725162700,309210837900,35485675200
기타법인,1266149000,1022077700,-244071300
개인,199392487300,66519369600,-132873117700
외국인,242085541606,340003580206,97918038600
기타외국인,489117500,202592700,-286524800
전체,716958458106,716958458106,0
