투자자구분,매도,매수,순매수
금융투자,134876068100,119803742600,-15072325500
보험,6591788400,7906730100,1314941700
투신,12465798300,11771788800,-694009500
사모,29844179800,27608993600,-2235186200
은행,364906400,641700,-364264700
기타금융,1260326100,2439700,-1257886400
연기금 등,485269560300,559228417600,73958857300
기관합계,670672627400,726322754100,55650126700
기타법인,2843521600,3123399600,279878000
개인,407765214000,142341684200,-265423529800
외국인,338143484600,548368640000,210225155400
기타외국인,1270759500,539129200,-731630300
전체,1420695607100,1420695607100,0
