투자자구분,매도,매수,순매수
금융투자,39990167500,102035657300,62045489800
보험,4106920700,5376494000,1269573300
투신,3141872800,10766645400,7624772600
사모,7383441000,26293299200,18909858200
은행,580000,0,-580000
기타금융,313248400,579100,-312669300
연기금 등,219397191500,289263081500,69865890000
기관합계,274333421900,433735756500,159402334600
기타법인,1158295500,1929452600,771157100
개인,324360503900,62843615000,-261516888900
외국인,186384617100,288359405600,101974788500
기타외국인,993225400,361834100,-631391300
전체,787230063800,787230063800,0
