날짜,시가,고가,저가,종가,거래량,등락률
2020-12-01,9350,9510,9310,9380,20968,0.10672358591248667
2020-12-02,9430,9860,9380,9590,33542,2.2388059701492535
2020-12-03,9780,9840,9330,9400,45654,-1.981230448383733
2020-12-04,9430,9490,9100,9280,42212,-1.276595744680851
2020-12-07,9280,9310,9100,9110,34246,-1.8318965517241377
2020-12-08,9170,9190,8910,9060,16636,-0.5488474204171241
2020-12-09,9060,9060,8900,8990,18854,-0.772626931567329
2020-12-10,8990,9420,8890,9230,45480,2.6696329254727478
2020-12-11,9280,9280,8920,9170,13341,-0.6500541711809318
2020-12-14,9070,9170,8980,9000,12602,-1.8538713195201746
2020-12-15,9040,9290,8840,9080,21158,0.8888888888888888
2020-12-16,9080,9140,8990,9100,13547,0.22026431718061676
2020-12-17,9100,9100,8960,9040,5207,-0.6593406593406593
2020-12-18,9190,9190,8900,9000,21668,-0.4424778761061947
2020-12-21,8910,9050,8830,8900,10923,-1.1111111111111112
2020-12-22,8880,8880,8490,8550,22450,-3.932584269662921
2020-12-23,8660,8870,8410,8620,17785,0.8187134502923977
2020-12-24,8740,8740,8510,8670,10284,0.580046403712297
2020-12-28,8900,9300,8410,8410,77810,-2.9988465974625145
2020-12-29,8410,8410,8210,8240,37681,-2.0214030915576697
2020-12-30,8310,8700,8200,8690,26393,5.461165048543689
