상장주식수,보유수량,지분율,한도수량,한도소진률
5969782550,3132707672,52.47,5969782550,52.47
5969782550,3133808250,52.5,5969782550,52.5
5969782550,3136730023,52.53,5969782550,52.53
5969782550,3136445332,52.53,5969782550,52.53
5969782550,3135548226,52.53,5969782550,52.53
5969782550,3135396459,52.53,5969782550,52.53
5969782550,3138211482,52.56,5969782550,52.56
5969782550,3135405516,52.53,5969782550,52.53
5969782550,3136646047,52.53,5969782550,52.53
5969782550,3136959357,52.56,5969782550,52.56
5969782550,3136133435,52.53,5969782550,52.53
5969782550,3137906162,52.56,5969782550,52.56
5969782550,3138114632,52.56,5969782550,52.56
5969782550,3139273940,52.6,5969782550,52.6
5969782550,3138521456,52.56,5969782550,52.56
5969782550,3139538222,52.6,5969782550,52.6
5969782550,3144334417,52.66,5969782550,52.66
5969782550,3147924486,52.72,5969782550,52.72
5969782550,3150393963,52.78,5969782550,52.78
5969782550,3149128846,52.75,5969782550,52.75
5969782550,3151307696,52.78,5969782550,52.78
