,시가,고가,저가,종가,거래량,거래대금,상장시가총액,날짜,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
528,1752.13,1752.76,1722.37,1735.41,12255209,135416890405,41728981615248,2023-03-03,1720.5280000000002,57.57668207049824,1690.3827007977625,1720.5280000000002,1750.673299202238,3.50419164375561,0.7468378220458184
529,1742.92,1742.92,1713.69,1727.95,15600305,156069662149,41556445517299,2023-03-06,1719.375,55.59613476209638,1692.3822569012991,1719.375,1746.3677430987009,3.1398319853087178,0.6588389881058948
530,1725.32,1727.26,1702.32,1702.37,14120403,163210439885,40941987959596,2023-03-07,1717.991,49.330046511228275,1690.4957415725453,1717.991,1745.4862584274547,3.2008617539270814,0.21593283908904568
531,1686.17,1693.72,1675.71,1689.39,13602568,172583830045,40627756598168,2023-03-08,1716.271,46.4680742603773,1686.253781674636,1716.271,1746.288218325364,3.497957877906689,0.052240322393798486
532,1694.79,1699.03,1677.89,1678.64,11095963,156856502811,40370900401575,2023-03-09,1713.8529999999998,44.18186292988791,1680.1210767818873,1713.8529999999998,1747.5849232181124,3.9363846512055085,-0.021953636801412713
533,1659.96,1662.48,1647.33,1655.04,9910277,113535495528,39801752643275,2023-03-10,1710.693,39.578176821614456,1668.4337420321565,1710.693,1752.9522579678435,4.940601027518497,-0.15847109812420604
534,1651.36,1663.77,1631.23,1656.18,11670024,120886504381,39828472681988,2023-03-13,1707.7575000000002,39.90392748040892,1659.3613564037091,1707.7575000000002,1756.1536435962912,5.667800445472034,-0.03286787094284999
535,1643.59,1643.59,1612.05,1612.05,12919601,143742783517,38767183754854,2023-03-14,1703.1770000000001,32.58120770338208,1639.248211461557,1703.1770000000001,1767.1057885384432,7.50700467872019,-0.21272271916432187
536,1635.26,1642.11,1608.64,1614.13,9114571,106765657612,38818242820897,2023-03-15,1697.9355,33.20340083847165,1623.685585932756,1697.9355,1772.185414067244,8.745905138003645,-0.06434745449066817
537,1596.65,1610.49,1582.68,1608.1,10717625,112456980446,38673454650716,2023-03-16,1693.4895000000001,32.27351595415809,1609.5377408820802,1693.4895000000001,1777.44125911792,9.914647728010111,-0.008562899081488344
538,1619.19,1630.38,1603.79,1630.3,10831273,136223060607,39205973586715,2023-03-17,1689.4985000000001,39.04208788954916,1601.5925649842495,1689.4985000000001,1777.4044350157508,10.406157213605175,0.16328496483546165
539,1632.5,1644.4,1619.12,1619.29,9051516,71491088459,38941060184917,2023-03-20,1684.64,37.06372216919168,1592.5884083788146,1684.64,1776.6915916211856,10.928339778372289,0.1450360126909529
540,1631.3,1637.49,1624.92,1630.86,7351104,80340974268,39218177476541,2023-03-21,1681.086,40.47712962605639,1586.5261166667724,1681.086,1775.6458833332276,11.249856739420544,0.23442226116647988
541,1641.8,1641.8,1620.82,1622.88,8385012,80904646050,39025113426341,2023-03-22,1676.5985,38.909661400835574,1579.9568743359325,1676.5985,1773.2401256640676,11.528296806190335,0.2220736942757519
542,1618.22,1631.54,1608.42,1622.13,10168927,106177076313,39005345615244,2023-03-23,1673.0835,38.757749901692414,1573.9199021881323,1673.0835,1772.2470978118677,11.853992680206062,0.24308364599342
543,1616.32,1623.36,1608.58,1622.71,7762352,93766048656,39018010046221,2023-03-24,1667.8175000000003,38.95623409650655,1569.704450740516,1667.8175000000003,1765.9305492594847,11.76544187352445,0.2701248695232053
544,1624.86,1624.86,1595.97,1604.05,8567740,95636689800,38570380775689,2023-03-27,1661.0615000000003,35.02343420914308,1564.9437635982613,1661.0615000000003,1757.1792364017392,11.573049691626583,0.2034288252393299
545,1611.1,1632.54,1611.1,1632.54,10633179,98151598183,39254391018696,2023-03-28,1656.1415000000002,44.27363372679239,1564.884237872571,1656.1415000000002,1747.3987621274293,11.0204668052131,0.370687003698162
546,1637.06,1653.63,1637.06,1645.9,17447689,156746382691,39575953412345,2023-03-29,1652.6564999999998,48.01131184058358,1565.5174042335507,1652.6564999999998,1739.795595766449,10.545336646356837,0.46123152334453554
547,1652.73,1668.83,1645.63,1662.3,13405183,132759957249,39970282654834,2023-03-30,1648.611,52.24556622306019,1571.758089345982,1648.611,1725.4639106540183,9.323352889677208,0.5890597368629664
548,1664.67,1677.87,1652.31,1663.97,10550611,135306408016,40010474859477,2023-03-31,1645.039,52.66831017505244,1578.7389273303972,1645.039,1711.3390726696027,8.060608006205657,0.6427675659900108
549,1662.51,1667.18,1648.55,1650.67,10046666,109858643730,39691064113735,2023-04-03,1641.175,48.95166561248875,1586.7004876112258,1641.175,1695.6495123887742,6.638476992249358,0.5871508489349672
550,1650.44,1656.0,1642.49,1652.78,9666112,99490851266,39741501969408,2023-04-04,1638.6955000000003,49.559792225833604,1591.569600337556,1638.6955000000003,1685.8213996624445,5.751635939983263,0.6494348129254283
551,1657.88,1667.09,1647.91,1647.94,9084858,99111972779,39625124577447,2023-04-05,1636.623,48.143041172989065,1595.3098654784606,1636.623,1677.9361345215395,5.048582907797274,0.6369661262824253
552,1646.74,1646.74,1618.39,1618.39,9961920,109494562919,38915360533422,2023-04-06,1633.6105,40.52587729621029,1596.4099992104286,1633.6105,1670.8110007895714,4.554390509802842,0.29542614108750453
553,1618.01,1624.26,1613.38,1615.83,8490015,92289876474,38854734143477,2023-04-07,1631.65,39.93636151348117,1595.045525410205,1631.65,1668.254474589795,4.4868047178984485,0.28390620030357394
554,1614.33,1627.03,1605.34,1611.04,11184913,106478311825,38738049240134,2023-04-10,1629.393,38.79908841836776,1593.5583574875511,1629.393,1665.227642512449,4.398526630769729,0.24392098381302035
555,1617.85,1636.89,1612.73,1633.88,10436637,111788950821,39286153960459,2023-04-11,1630.4845,46.60685846482695,1595.509840330534,1630.4845,1665.459159669466,4.290094100185075,0.5485422879320317
556,1641.72,1649.2,1633.02,1646.94,9847393,129547550915,39600191807113,2023-04-12,1632.125,50.49589561352686,1597.295061441413,1632.125,1666.954938558587,4.268047920176083,0.7126762293174872
557,1640.81,1673.56,1640.18,1657.9,15166368,174067611680,39862908590610,2023-04-13,1634.6150000000002,53.55337038837891,1599.8910281650435,1634.6150000000002,1669.338971834957,4.248581083002018,0.835287105269432
558,1659.13,1671.96,1654.44,1663.73,11353689,121363239017,40003100864675,2023-04-14,1636.2865,55.14052256506655,1599.4030162844556,1636.2865,1673.1699837155443,4.508193854260161,0.8720296625401761
559,1664.98,1686.67,1653.01,1686.48,12501854,152553331679,40548865641246,2023-04-17,1639.6460000000002,60.77353903736857,1597.6775869254661,1639.6460000000002,1681.6144130745342,5.1192041543765,1.0579672492837018
560,1681.33,1699.65,1673.24,1696.39,18576762,186389751913,40786151549971,2023-04-18,1642.9225000000001,62.955692209695606,1594.4772377445986,1642.9225000000001,1691.3677622554017,5.897449484732424,1.0518341475593775
561,1700.48,1708.9,1695.47,1707.12,12506972,150161807906,41043618260584,2023-04-19,1647.1345000000001,65.21223407009028,1592.180854998103,1647.1345000000001,1702.0881450018971,6.67263602357877,1.0457827228560457
562,1702.61,1731.18,1698.99,1709.34,18395244,199642848935,41096410775833,2023-04-20,1651.4950000000001,65.67806848128238,1591.5558049770905,1651.4950000000001,1711.4341950229098,7.258780077797346,0.982530671106699
563,1701.34,1701.34,1667.89,1691.17,13250589,147825440470,40660322463284,2023-04-21,1654.9180000000001,58.744470497467745,1594.1319385714596,1654.9180000000001,1715.7040614285406,7.346111581182935,0.7981933616690846
564,1690.3,1691.89,1655.42,1656.99,13386827,125779665770,39835538350731,2023-04-24,1657.565,48.39455899883728,1601.4377625836241,1657.565,1713.692237416376,6.772251756809045,0.49487770976741247
565,1657.37,1662.77,1635.27,1636.22,12412042,132649448873,39334664779824,2023-04-25,1657.7490000000003,43.391625978779146,1601.92782985825,1657.7490000000003,1713.5701701417504,6.734574430960312,0.30716097543879584
566,1636.78,1636.78,1597.32,1597.89,32757361,462029920294,38415053165214,2023-04-26,1655.3485,35.99607823620189,1593.854649486357,1655.3485,1716.8423505136432,7.429716523577133,0.032811008580019424
567,1596.45,1596.45,1572.66,1580.46,15694127,200513495563,37995792348625,2023-04-27,1651.2565,33.22309196024651,1581.783421681889,1651.2565,1720.729578318111,8.414571366484976,-0.009524708807554932
568,1588.9,1605.51,1579.55,1596.55,21712265,315961471900,38383678385964,2023-04-28,1647.8854999999999,37.97331949805642,1574.7603493403637,1647.8854999999999,1721.010650659636,8.875028108401478,0.14898875737745138
569,1591.34,1604.28,1583.49,1601.8,11592487,158431415533,38510107089556,2023-05-02,1645.4419999999998,39.48594801453855,1569.6354774310641,1645.4419999999998,1721.2485225689354,9.214122718264836,0.21214878007157356
570,1592.25,1605.7,1589.54,1592.08,10523084,114835506095,38276342808692,2023-05-03,1642.407,37.65503205392052,1563.2330439033476,1642.407,1721.5809560966522,9.64121025989932,0.18217452757720695
571,1588.89,1594.68,1580.25,1593.88,7343994,96347832473,38318504421190,2023-05-04,1639.7040000000002,38.226274615290244,1557.8251772434735,1639.7040000000002,1721.5828227565269,9.987024823568971,0.2201718438462321
572,1590.36,1605.59,1589.33,1597.62,8315749,103228159212,38408926848417,2023-05-08,1638.6654999999998,39.46733447874481,1555.2198112018675,1638.6654999999998,1722.1111887981322,10.184590912316434,0.2540585943313669
573,1599.72,1599.72,1589.73,1590.71,7267949,96649435606,38242561150228,2023-05-09,1637.4095000000002,37.950300577991065,1551.8961863056124,1637.4095000000002,1722.922813694388,10.444951454646837,0.22694602756889154
574,1589.79,1596.57,1572.95,1578.57,10592409,118428587689,37951066859563,2023-05-10,1635.786,35.37747886301639,1547.1556944832366,1635.786,1724.4163055167635,10.836418152101,0.1772210156198866
575,1584.37,1600.14,1582.56,1589.71,8638073,98235499764,38218734739498,2023-05-11,1633.5774999999999,39.435057710019976,1542.6946404774537,1633.5774999999999,1724.460359522546,11.126850060379276,0.25865911223272403
576,1590.38,1592.06,1569.2,1578.54,8116091,86355396045,37950697996287,2023-05-12,1630.1575,36.931094655120866,1536.4397185762223,1630.1575,1723.8752814237778,11.498003281741518,0.22461202550990045
577,1569.14,1571.5,1554.9,1560.7,7374515,81535339090,37522091768823,2023-05-15,1625.2975000000001,33.29488198190835,1527.8322048688865,1625.2975000000001,1722.7627951311138,11.99353289242291,0.16861281283198637
578,1561.71,1567.25,1544.25,1546.51,7595257,86183904830,37181156113745,2023-05-16,1619.4365,30.705228486791107,1517.9073855007823,1619.4365,1720.9656144992177,12.538820077133956,0.1408591744363045
579,1541.34,1548.18,1535.72,1539.67,7754177,100190733905,37017096506935,2023-05-17,1612.096,29.51358977292205,1509.7915423454313,1612.096,1714.4004576545688,12.692104893823787,0.14602715433697672
580,1545.62,1545.69,1530.76,1541.17,8602093,99807020034,37052690483949,2023-05-18,1604.335,30.153759519560143,1505.288175820748,1604.335,1703.3818241792521,12.347399287462046,0.18113566223140198
581,1540.23,1550.18,1538.62,1549.43,7399052,92598681150,37270360936396,2023-05-19,1596.4505000000001,33.723391949161275,1506.7199445632043,1596.4505000000001,1686.181055436796,11.241257456688551,0.23799058876259685
582,1553.9,1590.85,1552.78,1589.17,8601711,137540373495,38224479457778,2023-05-22,1590.4420000000002,47.5990129760549,1517.1688290300192,1590.4420000000002,1663.7151709699813,9.214189636589204,0.49132015181572203
583,1594.45,1599.6,1581.14,1585.33,6687239,92086052650,38132547488765,2023-05-23,1585.15,46.584124916927216,1528.2910777450345,1585.15,1642.0089222549657,7.173948491305629,0.5015828650356111
584,1579.42,1591.3,1574.13,1577.21,7191092,89383701989,37937340250983,2023-05-24,1581.161,44.42699348062859,1534.7961409363047,1581.161,1627.5258590636954,5.864660090110412,0.4573923001192326
585,1570.63,1572.89,1551.6,1552.11,12719113,141932614737,37334261362500,2023-05-25,1576.9555,38.493287235600896,1536.4407044433588,1576.9555,1617.4702955566413,5.13835622585942,0.1933774481810584
586,1549.91,1549.91,1519.17,1522.26,27332526,248995079324,36617402596209,2023-05-26,1573.1740000000002,32.87062077736286,1527.4037195114938,1573.1740000000002,1618.9442804885066,5.81884527566644,-0.05619060508909809
587,1526.81,1543.83,1511.94,1532.19,13200204,182125574539,36858229716715,2023-05-30,1570.7604999999999,36.20878568184358,1521.801954892975,1570.7604999999999,1619.7190451070248,6.233737747673815,0.10609021453064586
588,1530.45,1551.8,1529.48,1545.56,16877494,259161603555,37182310241218,2023-05-31,1568.211,40.49906703152298,1519.580426118987,1568.211,1616.8415738810131,6.202044735180802,0.26711152889721784
589,1542.61,1544.4,1528.61,1530.62,7795647,105424413508,36821901672213,2023-06-01,1564.652,37.46674874104807,1515.9566278995965,1564.652,1613.3473721004036,6.224434839236274,0.15056227591987018
