Date,CPIAUCSL
2019-01-01,252.561
2019-02-01,253.319
2019-03-01,254.277
2019-04-01,255.233
2019-05-01,255.296
2019-06-01,255.213
2019-07-01,255.802
2019-08-01,256.036
2019-09-01,256.43
2019-10-01,257.155
2019-11-01,257.879
2019-12-01,258.63
