news_title,news_category,news_date
LG硏 “내년 韓 성장률 1.8%…금리 인하 섣부른 낙관론 경계해야”,경제·금융경제·금융일반,2023.12.25
코스피 3개월여 만에 2600 탈환,증권증권일반,2023.12.20
"우에다 ""상황 좀 더 보고싶다"" 엔화 하락 전환[뒷북 글로벌]",국제국제일반,2023.12.20
"우에다 ""美연준따라 정책 변경 부적절""…월가선 ""내년 4월 금리인상 확률 90%""",국제국제일반,2023.12.19
아무리 봐도 이해되지 않는 파월의 피벗…역대급 실수 반복일까 [조지원의 BOK리포트],경제·금융경제·금융일반,2023.12.18
"한은은 ""긴축 기조 변화없다"" 금리인하 기대 일축",경제·금융경제·금융일반,2023.12.14
한은 “인플레이션 목표 안착 불확실…통화긴축 충분히 장기간 지속”,경제·금융경제·금융일반,2023.12.14
FOMC 결과에 환율 23.9원 급락…한은 “금융·외환 변동성 수시로 확대”,경제·금융경제·금융일반,2023.12.14
유가·환율 동시에 떨어지자…수입 물가 5개월 만에 하락 전환,경제·금융경제·금융일반,2023.12.13
마이너스금리 끝내나…엔화 급등 불러온 '챌린징 쇼크'[뒷북글로벌],국제국제일반,2023.12.09
"""日 마이너스 금리 끝난다""…엔화, 1년來 최대폭 상승",국제국제일반,2023.12.08
"월가 ""BOJ, 내년 4월 긴축정책 단행""…日 국채금리도 상승 전환",국제국제일반,2023.12.08
"[이번주 증시 전망] 코스피, 단기 과열 우려 속 박스권…2450~2570P 전망",증권국내증시,2023.12.04
“코스피 2450~2570 박스권…단기 과열 우려” [다음주 증시전망],증권증권일반,2023.12.02
올해만 7번째 금리 동결…이번에도 금리 인상 가능성 열어두나,경제·금융경제·금융일반,2023.11.30
내년 ‘円의 해’가 될 수도 있다?…日銀에 쏠리는 눈 [조지원의 BOK리포트],경제·금융경제·금융일반,2023.11.29
"채권전문가 96% ""한은, 11월 금통위서 기준금리 동결할 것""",증권국내증시,2023.11.28
"BIS 사무총장 ""내년 금리인하 기대 일러…가계부채 과도한 韓, 집값 낮춰야""",경제·금융경제·금융일반,2023.11.26
역대급 엔저에…엔선물 ETF 쓸어담은 개미,증권국내증시,2023.11.22
금리 인하 기대 커지는데…‘美보다 먼저 내릴 수 있나’ 고민하는 이유 [조지원의 BOK리포트],경제·금융경제·금융일반,2023.11.21
