Date,IR3TIB01JPM156N
2023-01-01,-0.006
2023-02-01,0.001
2023-03-01,-0.008
2023-04-01,-0.001
2023-05-01,-0.019
2023-06-01,-0.003
2023-07-01,-0.003
2023-08-01,-0.003
2023-09-01,0.024
2023-10-01,-0.012
2023-11-01,0.024
2023-12-01,0.052000000000000005
