news_title,news_category,news_date
"'빗썸 최대주주' 비덴트, 상폐 위기",증권국내증시,2023.03.31
"오후 3:00 현재 코스피는 40:60으로 매수우위, 매수강세 업종은 금융업(0.74%↓)",증권News봇,2023.03.27
"오전 9:30 현재 코스피는 38:62으로 매수우위, 매수강세 업종은 전기가스업(0.89%↓)",증권News봇,2023.03.27
"<코>모비스, 3.54% 오르며 체결강도 강세로 반전(114%)",증권News봇,2023.03.21
"[마감 시황] 외국인의 '팔자' 기조.. 코스피 2379.20(▼16.49, -0.69%) 하락 마감",증권News봇,2023.03.20
"오후 1:00 현재 코스피는 47:53으로 매수우위, 매수강세 업종은 종이목재업(0.58%↑)",증권News봇,2023.03.20
"오전 11:30 현재 코스피는 43:57으로 매수우위, 매수강세 업종은 전기전자업(1.13%↓)",증권News봇,2023.03.20
"오전 11:00 현재 코스피는 45:55으로 매수우위, 매수강세 업종은 전기전자업(1.12%↓)",증권News봇,2023.03.20
"오전 10:30 현재 코스피는 46:54으로 매수우위, 매수강세 업종은 전기전자업(1.07%↓)",증권News봇,2023.03.20
"오전 10:00 현재 코스피는 48:52으로 매수우위, 매도강세 업종은 의약품업(1.18%↑)",증권News봇,2023.03.20
"[개장 시황] 코스피 2389.82.. 외국인의 '팔자' 기조에 하락 출발 (▼29.27, -1.21%)",증권News봇,2023.03.10
"오후 1:00 현재 코스피는 42:58으로 매수우위, 매도강세 업종은 통신업(1.64%↑)",증권News봇,2023.03.07
"오후 12:30 현재 코스피는 42:58으로 매수우위, 매도강세 업종은 통신업(1.59%↑)",증권News봇,2023.03.07
"오후 12:00 현재 코스피는 43:57으로 매수우위, 매도강세 업종은 통신업(1.77%↑)",증권News봇,2023.03.07
"[정오 시황] 코스피 2470.03, 상승세(▲7.41, +0.30%) 반전",증권News봇,2023.03.07
"오전 11:30 현재 코스피는 43:57으로 매수우위, 매도강세 업종은 통신업(1.59%↑)",증권News봇,2023.03.07
"오전 11:00 현재 코스피는 41:59으로 매수우위, 매도강세 업종은 통신업(1.26%↑)",증권News봇,2023.03.07
"오전 10:30 현재 코스피는 42:58으로 매수우위, 매도강세 업종은 통신업(0.98%↑)",증권News봇,2023.03.07
"[마감 시황] 외국인과 기관의 동반 매수세.. 코스피 2462.62(▲30.55, +1.26%) 상승 마감",증권News봇,2023.03.06
"오후 3:20 현재 코스피는 53:47으로 매도우위, 매도강세 업종은 운수창고업(0.22%↓)",증권News봇,2023.03.06
"오후 2:30 현재 코스피는 48:52으로 매수우위, 매도강세 업종은 음식료품업(0.25%↓)",증권News봇,2023.03.06
"오후 2:00 현재 코스피는 48:52으로 매수우위, 매도강세 업종은 전기전자업(1.86%↑)",증권News봇,2023.03.06
"오후 1:30 현재 코스피는 47:53으로 매수우위, 매도강세 업종은 통신업(0.74%↑)",증권News봇,2023.03.06
"오후 1:00 현재 코스피는 49:51으로 매수우위, 매도강세 업종은 음식료품업(0.11%↑)",증권News봇,2023.03.06
"오후 12:30 현재 코스피는 48:52으로 매수우위, 매도강세 업종은 음식료품업(0.02%↓)",증권News봇,2023.03.06
"[정오 시황] 코스피 2455.02, 상승세(▲22.95, +0.94%) 지속",증권News봇,2023.03.06
"오후 12:00 현재 코스피는 49:51으로 매수우위, 매도강세 업종은 음식료품업(0.00%↑)",증권News봇,2023.03.06
"오전 11:30 현재 코스피는 48:52으로 매수우위, 매도강세 업종은 음식료품업(0.17%↓)",증권News봇,2023.03.06
"오전 11:00 현재 코스피는 46:54으로 매수우위, 매도강세 업종은 음식료품업(0.38%↓)",증권News봇,2023.03.06
"오전 10:30 현재 코스피는 46:54으로 매수우위, 매도강세 업종은 음식료품업(0.20%↓)",증권News봇,2023.03.06
