Date,SMB
2021-01-04,0.0
2021-01-05,-0.0022259873340644276
2021-01-06,0.019180496992640017
2021-01-07,-0.005939283167469611
2021-01-08,-0.050531594746948016
2021-01-11,-0.021749912431286544
2021-01-12,0.011418529031592572
2021-01-13,0.005184937494038255
2021-01-14,0.007142088027642823
2021-01-15,0.012657837573683661
2021-01-18,0.005786874104805273
2021-01-19,-0.001519100282685315
2021-01-20,0.0017747258747928818
2021-01-21,-0.0015011626538288247
2021-01-22,0.006905336751383717
2021-01-25,-0.01402953043502464
2021-01-26,0.015077722831054796
2021-01-27,0.0006519067098067488
2021-01-28,-0.004586247043479097
2021-01-29,-0.007531066950558163
2021-02-01,-0.008420405921939045
2021-02-02,-0.0004337227696902257
2021-02-03,0.0033374660400318223
2021-02-04,0.01790034242332561
2021-02-05,-0.009865648099549151
2021-02-08,0.004645354855022377
2021-02-09,-0.0007148584403209313
2021-02-10,0.002002682303461567
2021-02-15,0.0010299269279394618
2021-02-16,0.0071186797939031266
2021-02-17,0.020983855897179216
2021-02-18,0.004070149268136314
2021-02-19,-0.016183063939381293
2021-02-22,0.00746761634971016
2021-02-23,-0.006789183738034277
2021-02-24,-0.012258404455102623
2021-02-25,-0.014371796228464628
2021-02-26,0.013870092018300695
2021-03-02,-0.008467922574292963
2021-03-03,-0.0007862654805674829
2021-03-04,0.013542466970618894
2021-03-05,0.0025387242590532155
2021-03-08,0.0001806685091336746
2021-03-09,-0.0038654499310325496
2021-03-10,-0.0013856864395473956
2021-03-11,-0.0064642604728830655
2021-03-12,0.00023495919611837834
2021-03-15,0.014604841089917775
2021-03-16,0.0014736463364117824
2021-03-17,0.01303280240854987
2021-03-18,-0.0018218160208296474
2021-03-19,0.013103902138550172
2021-03-22,0.003977621315694901
2021-03-23,0.000344221547026069
2021-03-24,0.00956262706951605
2021-03-25,-2.537563454563241e-05
2021-03-26,-0.003841433173400688
2021-03-29,0.006580318744402458
2021-03-30,-0.004803650830522255
2021-03-31,0.01204088826240124
