상장주식수,보유수량,지분율,한도수량,한도소진률
5969782550,3151237002,52.78,5969782550,52.78
5969782550,3150524014,52.78,5969782550,52.78
5969782550,3152485502,52.8,5969782550,52.8
5969782550,3153589805,52.84,5969782550,52.84
5969782550,3154801683,52.84,5969782550,52.84
5969782550,3153813013,52.84,5969782550,52.84
5969782550,3153681962,52.84,5969782550,52.84
5969782550,3155927850,52.88,5969782550,52.88
5969782550,3157846123,52.9,5969782550,52.9
5969782550,3158405403,52.9,5969782550,52.9
5969782550,3163509952,53.0,5969782550,53.0
5969782550,3164885311,53.03,5969782550,53.03
5969782550,3163380264,53.0,5969782550,53.0
5969782550,3163456948,53.0,5969782550,53.0
5969782550,3164847957,53.0,5969782550,53.0
5969782550,3161284337,52.94,5969782550,52.94
5969782550,3164288196,53.0,5969782550,53.0
5969782550,3165243552,53.03,5969782550,53.03
5969782550,3163909245,53.0,5969782550,53.0
5969782550,3165427951,53.03,5969782550,53.03
5969782550,3165226457,53.03,5969782550,53.03
