날짜,시가총액,거래량,거래대금,상장주식수
2023-04-03,36552312000,4522,54536960,2986300
2023-04-04,36373134000,4533,54879100,2986300
2023-04-05,36044641000,1558,18893050,2986300
2023-04-06,35805737000,4149,49255400,2986300
2023-04-07,35746011000,1972,23600350,2986300
2023-04-10,35387655000,4065,47936010,2986300
2023-04-11,35298066000,4770,56183550,2986300
2023-04-12,35895326000,5531,66379110,2986300
2023-04-13,35835600000,2956,35256850,2986300
2023-04-14,35925189000,4437,53234510,2986300
2023-04-17,37149572000,11286,136861760,2986300
2023-04-18,36731490000,5070,62696080,2986300
2023-04-19,36761353000,6190,76090790,2986300
2023-04-20,36462723000,1294,15792410,2986300
2023-04-21,35925189000,4063,48786640,2986300
2023-04-24,35716148000,1891,22782030,2986300
2023-04-25,35178614000,2979,35230480,2986300
2023-04-26,34611217000,3223,37729900,2986300
2023-04-27,34342450000,2417,27759430,2986300
2023-04-28,34133409000,3128,35795160,2986300
2023-05-02,33894505000,4832,54931050,2986300
2023-05-03,33416697000,5766,64717450,2986300
2023-05-04,33655601000,1673,18731390,2986300
2023-05-08,33446560000,2147,24097390,2986300
2023-05-09,33595875000,1307,14556720,2986300
2023-05-10,33237519000,1140,12786990,2986300
2023-05-11,33207656000,4832,53301560,2986300
2023-05-12,33207656000,1305,14391550,2986300
2023-05-15,33864642000,2980,33579470,2986300
2023-05-16,33566012000,1630,18278090,2986300
2023-05-17,33476423000,987,11083220,2986300
2023-05-18,33506286000,888,9955370,2986300
2023-05-19,33834779000,2023,22827670,2986300
2023-05-22,33715327000,1514,17071020,2986300
2023-05-23,33745190000,3745,42476790,2986300
2023-05-24,33566012000,2459,27758830,2986300
2023-05-25,33655601000,2299,25670320,2986300
2023-05-26,33386834000,2719,30334340,2986300
2023-05-30,32998615000,3270,36479800,2986300
2023-05-31,32909026000,7173,78174230,2986300
2023-06-01,32699985000,1605,17624460,2986300
2023-06-02,33177793000,2099,23175550,2986300
2023-06-05,33147930000,3219,35474850,2986300
2023-06-07,33386834000,4345,48380590,2986300
2023-06-08,33237519000,2453,27244060,2986300
2023-06-09,33088204000,3095,34293580,2986300
2023-06-12,32938889000,2875,31631720,2986300
2023-06-13,32729848000,2605,28700810,2986300
2023-06-14,32699985000,2760,30196800,2986300
2023-06-15,32461081000,2240,24376840,2986300
2023-06-16,32849300000,3576,39208720,2986300
2023-06-19,32849300000,3742,41281230,2986300
2023-06-20,32699985000,2137,23457550,2986300
2023-06-21,32759711000,1602,17423690,2986300
2023-06-22,32520807000,1796,19654840,2986300
2023-06-23,32072862000,2233,24069310,2986300
2023-06-26,32162451000,2295,24525610,2986300
2023-06-27,32102725000,1176,12611410,2986300
2023-06-28,31774232000,484,5182440,2986300
2023-06-29,31326287000,2078,21941180,2986300
2023-06-30,31356150000,477,5053010,2986300
