투자자구분,매도,매수,순매수
금융투자,27946658900,68773707500,40827048600
보험,11614082200,1131409200,-10482673000
투신,10614224800,4263706200,-6350518600
사모,34398273700,574739400,-33823534300
은행,200227200,2329349000,2129121800
기타금융,1752000,25278300,23526300
연기금 등,328897524300,327758733400,-1138790900
기관합계,413672743100,404856923000,-8815820100
기타법인,1466354100,3363977100,1897623000
개인,120983578700,128601057100,7617478400
외국인,211153257364,210438497964,-714759400
기타외국인,377401000,392879100,15478100
전체,747653334264,747653334264,0
