투자자구분,매도,매수,순매수
금융투자,127397255000,95058116000,-32339139000
보험,2752183300,5916934700,3164751400
투신,30156204600,16214400100,-13941804500
사모,46138286100,5152366500,-40985919600
은행,16484800,559649100,543164300
기타금융,9188700,700243900,691055200
연기금 등,726938440800,589864580000,-137073860800
기관합계,933408043300,713466290300,-219941753000
기타법인,6018270700,10216426500,4198155800
개인,189956632600,392972454500,203015821900
외국인,456696010408,468587137108,11891126700
기타외국인,461341300,1297989900,836648600
전체,1586540298308,1586540298308,0
