투자자구분,매도,매수,순매수
금융투자,125694347400,66409167900,-59285179500
보험,1416452000,5682133100,4265681100
투신,6519269600,11329411700,4810142100
사모,11310667100,5731706900,-5578960200
은행,1143224600,29888200,-1113336400
기타금융,183545600,174804700,-8740900
연기금 등,325411648800,298622513100,-26789135700
기관합계,471679155100,387979625600,-83699529500
기타법인,2357576600,2105283900,-252292700
개인,125471401800,152728051700,27256649900
외국인,420180638516,476710891516,56530253000
기타외국인,184332900,349252200,164919300
전체,1019873104916,1019873104916,0
