투자자구분,매도,매수,순매수
금융투자,276425989100,68355410800,-208070578300
보험,6241190700,2741271000,-3499919700
투신,24443336300,8224750400,-16218585900
사모,31488937800,15243668900,-16245268900
은행,296692900,3590881100,3294188200
기타금융,489202700,173661600,-315541100
연기금 등,381985195800,326139538300,-55845657500
기관합계,721370545300,424469182100,-296901363200
기타법인,5223325700,11834885100,6611559400
개인,214473558000,361301055100,146827497100
외국인,483876458523,626976399123,143099940600
기타외국인,504518000,866884100,362366100
전체,1425448405523,1425448405523,0
