투자자구분,매도,매수,순매수
금융투자,89994192400,133078989500,43084797100
보험,10391639500,3792209300,-6599430200
투신,18673470500,12258021900,-6415448600
사모,11730363800,38790884100,27060520300
은행,138991500,0,-138991500
기타금융,90321100,1763900,-88557200
연기금 등,811703514600,815342975400,3639460800
기관합계,942722493400,1003264844100,60542350700
기타법인,4620456200,2750703500,-1869752700
개인,305328273700,202277966500,-103050307200
외국인,401560906952,446456796452,44895889500
기타외국인,1098017100,579836800,-518180300
전체,1655330147352,1655330147352,0
