투자자구분,매도,매수,순매수
금융투자,11348645500,334950728600,323602083100
보험,3909390300,2101940500,-1807449800
투신,5527733400,13687229800,8159496400
사모,2419561100,31156470300,28736909200
은행,906861400,163912400,-742949000
기타금융,1242494100,381857200,-860636900
연기금 등,357254471900,363201159200,5946687300
기관합계,382609157700,745643298000,363034140300
기타법인,6758359100,5143116700,-1615242400
개인,402425099700,108757432500,-293667667200
외국인,491094721459,423915777859,-67178943600
기타외국인,779695000,207407900,-572287100
전체,1283667032959,1283667032959,0
