투자자구분,매도,매수,순매수
금융투자,89871983300,762012589900,672140606600
보험,13485800300,5275535600,-8210264700
투신,16292632600,171154862000,154862229400
사모,7389378700,95822655300,88433276600
은행,906861400,1244977000,338115600
기타금융,1515346100,382928300,-1132417800
연기금 등,880098479200,903100354400,23001875200
기관합계,1009560481600,1938993902500,929433420900
기타법인,12220805000,9500170000,-2720635000
개인,765520111700,251796086600,-513724025100
외국인,999233637359,587471425159,-411762212200
기타외국인,1620792400,394243800,-1226548600
전체,2788155828059,2788155828059,0
