투자자구분,매도,매수,순매수
금융투자,133691735200,114199053000,-19492682200
보험,14704324700,1227430000,-13476894700
투신,10944117200,9094229300,-1849887900
사모,15300016200,7998519100,-7301497100
은행,192364900,1427778100,1235413200
기타금융,105993100,496224600,390231500
연기금 등,607139399000,579582448800,-27556950200
기관합계,782077950300,714025682900,-68052267400
기타법인,6025714600,6417891600,392177000
개인,546404304800,369418857100,-176985447700
외국인,545079271271,789344491671,244265220400
기타외국인,1709527500,2089845200,380317700
전체,1881296768471,1881296768471,0
