투자자구분,매도,매수,순매수
금융투자,106670761700,120148347100,13477585400
보험,39275584700,18810177000,-20465407700
투신,19178641000,8065597600,-11113043400
사모,39775193400,19906112600,-19869080800
은행,1410647400,2329349000,918701600
기타금융,13390400,41675300,28284900
연기금 등,723549270200,713050147100,-10499123100
기관합계,929873488800,882351405700,-47522083100
기타법인,3621685500,5894870400,2273184900
개인,308576881100,262656885100,-45919996000
외국인,468583439712,560221037812,91637598100
기타외국인,1324505400,855801500,-468703900
전체,1711980000512,1711980000512,0
