투자자구분,매도,매수,순매수
금융투자,60289183800,147695806600,87406622800
보험,8257731300,6326273600,-1931457700
투신,18465675700,20133111100,1667435400
사모,11885282300,46960074700,35074792400
은행,192783500,222425800,29642300
기타금융,534740900,1890506600,1355765700
연기금 등,915474079600,914195019600,-1279060000
기관합계,1015099477100,1137423218000,122323740900
기타법인,3598020000,5302656500,1704636500
개인,383984135200,260865494200,-123118641000
외국인,553044716202,552891243502,-153472700
기타외국인,1429683900,673420200,-756263700
전체,1957156032402,1957156032402,0
