날짜,시가,고가,저가,종가,거래량,등락률
2020-08-03,20730,21153,20076,20308,12602,-2.040422555593073
2020-08-04,20153,20576,19730,19846,26062,-2.2749655308252907
2020-08-05,20076,20076,19230,19500,13629,-1.7434243676307568
2020-08-06,19346,19807,19038,19385,8844,-0.5897435897435898
2020-08-07,19307,19538,19115,19500,5229,0.5932421975754449
2020-08-10,19730,20615,19538,20000,25695,2.564102564102564
2020-08-11,20730,23346,20000,20385,135834,1.925
2020-08-12,20384,20384,19461,19692,26404,-3.399558498896247
2020-08-13,20230,20384,19538,19923,17095,1.1730652041438148
2020-08-14,20076,21076,19884,20423,25519,2.5096621994679515
2020-08-18,21076,21923,18461,19462,45687,-4.705479116682172
2020-08-19,19615,20384,18846,19885,20418,2.1734662419073065
2020-08-20,19461,19884,18307,18577,16951,-6.577822479255721
2020-08-21,19384,24115,18653,24115,578604,29.8110566829951
2020-08-24,23461,31346,21307,22385,513171,-7.173958117354344
2020-08-25,22653,22653,20769,21962,207403,-1.889658253294617
2020-08-26,22653,26807,22115,23077,454880,5.076951097349968
2020-08-27,23269,30000,23076,30000,428159,29.999566668111104
2020-08-28,39000,39000,39000,39000,21064,30.0
2020-08-31,50000,50000,35384,36692,962995,-5.917948717948718
