일자,수익률,대비
2022-01-03,1.363,0.013
2022-01-04,1.37,0.007
2022-01-05,1.341,-0.029
2022-01-06,1.394,0.053
2022-01-07,1.397,0.003
2022-01-10,1.417,0.02
2022-01-11,1.417,0.0
2022-01-12,1.404,-0.013
2022-01-13,1.404,0.0
2022-01-14,1.431,0.027
2022-01-17,1.455,0.024
2022-01-18,1.448,-0.007
2022-01-19,1.433,-0.015
2022-01-20,1.444,0.011
2022-01-21,1.443,-0.001
2022-01-24,1.438,-0.005
2022-01-25,1.453,0.015
2022-01-26,1.455,0.002
2022-01-27,1.473,0.018
2022-01-28,1.463,-0.01
2022-02-03,1.452,-0.011
2022-02-04,1.467,0.015
2022-02-07,1.47,0.003
2022-02-08,1.47,0.0
2022-02-09,1.46,-0.01
2022-02-10,1.455,-0.005
2022-02-11,1.475,0.02
2022-02-14,1.474,-0.001
2022-02-15,1.483,0.009
2022-02-16,1.478,-0.005
2022-02-17,1.481,0.003
2022-02-18,1.496,0.015
2022-02-21,1.502,0.006
2022-02-22,1.492,-0.01
2022-02-23,1.5,0.008
2022-02-24,1.485,-0.015
2022-02-25,1.498,0.013
2022-02-28,1.503,0.005
2022-03-02,1.487,-0.016
2022-03-03,1.512,0.025
2022-03-04,1.503,-0.009
2022-03-07,1.515,0.012
2022-03-08,1.507,-0.008
2022-03-10,1.504,-0.003
2022-03-11,1.546,0.042
2022-03-14,1.56,0.014
2022-03-15,1.548,-0.012
2022-03-16,1.539,-0.009
2022-03-17,1.508,-0.031
2022-03-18,1.511,0.003
2022-03-21,1.523,0.012
2022-03-22,1.569,0.046
2022-03-23,1.585,0.016
2022-03-24,1.593,0.008
2022-03-25,1.632,0.039
2022-03-28,1.75,0.118
2022-03-29,1.802,0.052
2022-03-30,1.792,-0.01
2022-03-31,1.815,0.023
2022-04-01,1.823,0.008
2022-04-04,1.844,0.021
2022-04-05,1.852,0.008
2022-04-06,1.923,0.071
2022-04-07,2.012,0.089
2022-04-08,2.084,0.072
2022-04-11,2.223,0.139
2022-04-12,2.224,0.001
2022-04-13,2.152,-0.072
2022-04-14,2.076,-0.076
2022-04-15,2.023,-0.053
2022-04-18,2.012,-0.011
2022-04-19,1.995,-0.017
2022-04-20,1.997,0.002
2022-04-21,1.991,-0.006
2022-04-22,1.998,0.007
2022-04-25,1.972,-0.026
2022-04-26,1.963,-0.009
2022-04-27,1.958,-0.005
2022-04-28,1.96,0.002
2022-04-29,1.97,0.01
2022-05-02,2.012,0.042
2022-05-03,2.01,-0.002
2022-05-04,2.023,0.013
2022-05-06,2.017,-0.006
2022-05-09,1.989,-0.028
2022-05-10,1.981,-0.008
2022-05-11,1.949,-0.032
2022-05-12,1.95,0.001
2022-05-13,1.954,0.004
2022-05-16,2.041,0.087
2022-05-17,2.04,-0.001
2022-05-18,2.078,0.038
2022-05-19,2.079,0.001
2022-05-20,2.072,-0.007
2022-05-23,2.088,0.016
2022-05-24,2.092,0.004
2022-05-25,2.091,-0.001
2022-05-26,2.129,0.038
2022-05-27,2.137,0.008
2022-05-30,2.131,-0.006
2022-05-31,2.163,0.032
2022-06-02,2.181,0.018
2022-06-03,2.18,-0.001
2022-06-07,2.222,0.042
2022-06-08,2.226,0.004
2022-06-09,2.234,0.008
2022-06-10,2.29,0.056
2022-06-13,2.416,0.126
2022-06-14,2.451,0.035
2022-06-15,2.541,0.09
2022-06-16,2.651,0.11
2022-06-17,2.819,0.168
2022-06-20,2.811,-0.008
2022-06-21,2.834,0.023
2022-06-22,2.83,-0.004
2022-06-23,2.836,0.006
2022-06-24,2.824,-0.012
2022-06-27,2.876,0.052
2022-06-28,2.878,0.002
2022-06-29,2.9,0.022
2022-06-30,2.981,0.081
2022-07-01,2.964,-0.017
2022-07-04,2.959,-0.005
2022-07-05,2.954,-0.005
2022-07-06,2.909,-0.045
2022-07-07,2.92,0.011
2022-07-08,2.959,0.039
2022-07-11,2.974,0.015
2022-07-12,2.984,0.01
2022-07-13,2.97,-0.014
2022-07-14,3.011,0.041
2022-07-15,2.997,-0.014
2022-07-18,2.996,-0.001
2022-07-19,2.974,-0.022
2022-07-20,2.985,0.011
2022-07-21,2.973,-0.012
2022-07-22,2.943,-0.03
2022-07-25,2.929,-0.014
2022-07-26,2.931,0.002
2022-07-27,2.932,0.001
2022-07-28,2.949,0.017
2022-07-29,2.902,-0.047
2022-08-01,2.924,0.022
2022-08-02,2.891,-0.033
2022-08-03,2.901,0.01
2022-08-04,2.892,-0.009
2022-08-05,2.876,-0.016
2022-08-08,2.9,0.024
2022-08-09,2.899,-0.001
2022-08-10,2.902,0.003
2022-08-11,2.894,-0.008
2022-08-12,2.902,0.008
2022-08-16,2.862,-0.04
2022-08-17,2.882,0.02
2022-08-18,2.887,0.005
2022-08-19,2.925,0.038
2022-08-22,2.961,0.036
2022-08-23,2.99,0.029
2022-08-24,3.046,0.056
2022-08-25,3.19,0.144
2022-08-26,3.209,0.019
2022-08-29,3.272,0.063
2022-08-30,3.244,-0.028
2022-08-31,3.268,0.024
2022-09-01,3.303,0.035
2022-09-02,3.25,-0.053
2022-09-05,3.205,-0.045
2022-09-06,3.242,0.037
2022-09-07,3.232,-0.01
2022-09-08,3.144,-0.088
2022-09-13,3.155,0.011
2022-09-14,3.21,0.055
2022-09-15,3.228,0.018
2022-09-16,3.211,-0.017
2022-09-19,3.194,-0.017
2022-09-20,3.167,-0.027
2022-09-21,3.175,0.008
2022-09-22,3.278,0.103
2022-09-23,3.342,0.064
2022-09-26,3.604,0.262
2022-09-27,3.484,-0.12
2022-09-28,3.488,0.004
2022-09-29,3.454,-0.034
2022-09-30,3.382,-0.072
2022-10-04,3.331,-0.051
2022-10-05,3.415,0.084
2022-10-06,3.43,0.015
2022-10-07,3.487,0.057
2022-10-11,3.546,0.059
2022-10-12,3.455,-0.091
2022-10-13,3.543,0.088
2022-10-14,3.544,0.001
2022-10-17,3.568,0.024
2022-10-18,3.573,0.005
2022-10-19,3.649,0.076
2022-10-20,3.674,0.025
2022-10-21,3.801,0.127
2022-10-24,3.736,-0.065
2022-10-25,3.71,-0.026
2022-10-26,3.719,0.009
2022-10-27,3.753,0.034
2022-10-28,3.728,-0.025
2022-10-31,3.783,0.055
2022-11-01,3.766,-0.017
2022-11-02,3.863,0.097
2022-11-03,3.901,0.038
2022-11-04,3.902,0.001
2022-11-07,3.93,0.028
2022-11-08,3.93,0.0
2022-11-09,3.911,-0.019
2022-11-10,3.905,-0.006
2022-11-11,3.836,-0.069
2022-11-14,3.871,0.035
2022-11-15,3.831,-0.04
2022-11-16,3.84,0.009
2022-11-17,3.835,-0.005
2022-11-18,3.831,-0.004
2022-11-21,3.834,0.003
