rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,연결구분,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 2 기 3분기말,1562457880732,제 1 기말,1428058178816,1,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 2 기 3분기말,112070657756,제 1 기말,84734537962,2,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 2 기 3분기말,858211979866,제 1 기말,772214725522,3,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타금융자산,-,제 2 기 3분기말,23933899289,제 1 기말,21801471228,4,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 2 기 3분기말,28484854250,제 1 기말,31459286821,5,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 2 기 3분기말,538604042606,제 1 기말,517313518503,6,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 2 기 3분기말,1152446965,제 1 기말,534638780,7,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 2 기 3분기말,1816095471643,제 1 기말,1710786079882,8,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,-,제 2 기 3분기말,13269639793,제 1 기말,8975223854,9,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 2 기 3분기말,1537417407186,제 1 기말,1439546936080,10,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 2 기 3분기말,124772416891,제 1 기말,125519791709,11,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 2 기 3분기말,77491356656,제 1 기말,75914865464,12,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 2 기 3분기말,36010549901,제 1 기말,37952780796,13,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 2 기 3분기말,4254498187,제 1 기말,3547904562,14,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 2 기 3분기말,22879603029,제 1 기말,19328577417,15,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 2 기 3분기말,3378553352375,제 1 기말,3138844258698,16,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 2 기 3분기말,2150456727029,제 1 기말,1994629707423,18,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 2 기 3분기말,730496089606,제 1 기말,643244889657,19,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_ShorttermBorrowings,차입금,-,제 2 기 3분기말,1339652385356,제 1 기말,1324975126995,20,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 2 기 3분기말,8867979628,제 1 기말,896898439,21,KRW,,연결,,,
20191129001094,11014,2019,01316227,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 2 기 3분기말,58548469639,제 1 기말,2879247218,22,KRW,,연결,,,
