투자자구분,매도,매수,순매수
금융투자,140432362700,174801722900,34369360200
보험,6646609500,4801067200,-1845542300
투신,10133582200,16690346700,6556764500
사모,26734462700,17485646600,-9248816100
은행,1364870000,157986000,-1206884000
기타금융,70055500,159813300,89757800
연기금 등,590488750700,584810536900,-5678213800
기관합계,775870693300,798907119600,23036426300
기타법인,4905274400,1499482100,-3405792300
개인,366582931800,140758088900,-225824842900
외국인,482379027370,689740622370,207361595000
기타외국인,1560196700,392810600,-1167386100
전체,1631298123570,1631298123570,0
