투자자구분,매도,매수,순매수
금융투자,181645641500,251063213100,69417571600
보험,8547350600,8202552800,-344797800
투신,19483843500,8075870200,-11407973300
사모,11673589900,5188582700,-6485007200
은행,839044800,872838100,33793300
기타금융,571461600,7743200,-563718400
연기금 등,813040907400,760248248800,-52792658600
기관합계,1035801839300,1033659048900,-2142790400
기타법인,14466377600,6173156000,-8293221600
개인,361363962300,230574629400,-130789332900
외국인,357680378800,501897588400,144217209600
기타외국인,3908989700,917125000,-2991864700
전체,1773221547700,1773221547700,0
