투자자구분,매도,매수,순매수
금융투자,167925491800,82656302200,-85269189600
보험,19155945900,6972799500,-12183146400
투신,40236654400,10953143500,-29283510900
사모,11197997500,2423192700,-8774804800
은행,6581600,78875200,72293600
기타금융,103537700,3045600,-100492100
연기금 등,507454770100,479862839100,-27591931000
기관합계,746080979000,582950197800,-163130781200
기타법인,9343273100,6508199700,-2835073400
개인,260199389500,236542469800,-23656919700
외국인,278720022900,468608312900,189888290000
기타외국인,948653900,683138200,-265515700
전체,1295292318400,1295292318400,0
