투자자구분,매도,매수,순매수
금융투자,48058879600,177657734800,129598855200
보험,10158843700,9725040600,-433803100
투신,16880395800,10166907100,-6713488700
사모,17551257500,8852524400,-8698733100
은행,3119422400,506800,-3118915600
기타금융,805703700,22822400,-782881300
연기금 등,489542546700,519065804800,29523258100
기관합계,586117049400,725491340900,139374291500
기타법인,11681666600,5175882000,-6505784600
개인,434256668100,184185199200,-250071468900
외국인,446748152800,565530959400,118782806600
기타외국인,2289923600,710079000,-1579844600
전체,1481093460500,1481093460500,0
