투자자구분,매도,매수,순매수
금융투자,100560926200,243498914600,142937988400
보험,13137224300,3370098600,-9767125700
투신,38554898800,14350859700,-24204039100
사모,14428450500,21357827900,6929377400
은행,7957200,1721437100,1713479900
기타금융,1331178500,1815300,-1329363200
연기금 등,506174029400,489255727500,-16918301900
기관합계,674194664900,773556680700,99362015800
기타법인,6030667300,15796900800,9766233500
개인,493244928100,348657762000,-144587166100
외국인,380236852694,415910212094,35673359400
기타외국인,1312820300,1098377700,-214442600
전체,1555019933294,1555019933294,0
