투자자구분,매도,매수,순매수
금융투자,162403552500,47891564900,-114511987600
보험,10037683900,13341038800,3303354900
투신,13748098500,24536117800,10788019300
사모,28949312300,51098819000,22149506700
은행,1261451500,619033700,-642417800
기타금융,344557800,78139800,-266418000
연기금 등,555056924600,577511439600,22454515000
기관합계,771801581100,715076153600,-56725427500
기타법인,17075700700,3097215600,-13978485100
개인,656668968500,176038562600,-480630405900
외국인,539038221631,1091455298631,552417077000
기타외국인,1931575100,848816600,-1082758500
전체,1986516047031,1986516047031,0
