날짜,시가총액,거래량,거래대금,상장주식수
2020-01-02,28027759500,2609,70355650,1032330
2020-01-03,28079376000,2934,79276850,1032330
2020-01-06,27769677000,526,14104250,1032330
2020-01-07,27718060500,3936,105073050,1032330
2020-01-08,27150279000,3503,91913100,1032330
2020-01-09,27305128500,582,15294450,1032330
2020-01-10,27098662500,293,7673400,1032330
2020-01-13,26943813000,594,15488800,1032330
2020-01-14,26840580000,2384,62056050,1032330
2020-01-15,26892196500,1664,43247600,1032330
2020-01-16,26788963500,920,23807050,1032330
2020-01-17,26479264500,5475,139985300,1032330
2020-01-20,26479264500,2323,59593950,1032330
2020-01-21,26221182000,2669,67805950,1032330
2020-01-22,26324415000,1340,33975900,1032330
2020-01-23,25963099500,3369,84737300,1032330
2020-01-28,24672687000,4366,105444050,1032330
2020-01-29,24517837500,3071,73550750,1032330
2020-01-30,23743590000,5333,124201650,1032330
2020-01-31,24156522000,4666,107971600,1032330
2020-02-03,24104905500,2397,55951950,1032330
2020-02-04,23950056000,1496,34442450,1032330
2020-02-05,23898439500,5950,136981150,1032330
2020-02-06,24724303500,4076,95438150,1032330
2020-02-07,25034002500,4130,98890250,1032330
2020-02-10,25034002500,4238,101301250,1032330
2020-02-11,25550167500,4356,105973000,1032330
2020-02-12,24982386000,3922,94427800,1032330
2020-02-13,24724303500,2978,71371100,1032330
2020-02-14,24827536500,2713,64658400,1032330
2020-02-17,24827536500,819,19679350,1032330
2020-02-18,24724303500,2252,53917550,1032330
2020-02-19,24827536500,928,22069300,1032330
2020-02-20,24621070500,1501,35511450,1032330
2020-02-21,24208138500,2408,56417250,1032330
2020-02-24,23175808500,3110,70508400,1032330
2020-02-25,23227425000,273,6160500,1032330
2020-02-26,23072575500,515,11507400,1032330
2020-02-27,22866109500,4981,109085300,1032330
2020-02-28,22349944500,2604,55617500,1032330
2020-03-02,21988629000,1581,33849050,1032330
2020-03-03,22246711500,1186,25372350,1032330
2020-03-04,22453177500,1409,30353700,1032330
2020-03-05,22711260000,3425,74818850,1032330
2020-03-06,22401561000,2178,46694950,1032330
2020-03-09,21162765000,3910,81335850,1032330
2020-03-10,21162765000,1762,35930000,1032330
2020-03-11,20749833000,1427,28496200,1032330
2020-03-12,19149721500,4590,85911650,1032330
2020-03-13,18014158500,11623,187926550,1032330
2020-03-16,16878595500,2459,41615350,1032330
2020-03-17,16568896500,1825,28891750,1032330
2020-03-18,16465663500,2104,33595450,1032330
2020-03-19,13575139500,11992,164900150,1032330
2020-03-20,14039688000,3367,44716200,1032330
2020-03-23,13213824000,1425,18496750,1032330
2020-03-24,13729989000,3916,51556000,1032330
2020-03-25,14246154000,5119,70959900,1032330
2020-03-26,15278484000,6534,93612100,1032330
2020-03-27,15278484000,11150,165502900,1032330
2020-03-30,15226867500,940,13600000,1032330
2020-03-31,15743032500,1310,19691500,1032330
