날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-03-19,775.1,776.07,765.68,766.08,16251493,124982169363,18246633377577,796.577,32.564853985952745,732.5285670449305,796.577,860.6254329550695,16.080914451476637,0.26192235630968647
2019-03-20,766.59,769.02,759.73,764.2,17176438,141271402180,18201526118657,792.4345000000001,31.834939383258675,731.3304099650438,792.4345000000001,853.5385900349563,15.421865159822355,0.2689639107312807
2019-03-21,765.31,769.65,751.94,755.5,35869642,176866757727,17994789577475,787.8555,28.636163340483108,730.1888182938359,787.8555,845.5221817061641,14.638898048224357,0.21946105582366593
2019-03-22,756.52,764.21,753.6,761.16,18310643,136907661114,18130956824044,784.011,33.32963805244626,730.1133392344337,784.011,837.9086607655662,13.74921034668295,0.2880149186864257
2019-03-25,757.09,762.19,746.31,750.73,18417814,200814253106,17888753665313,779.588,29.481752484558832,730.1988645145508,779.588,828.9771354854491,12.670573555634302,0.20785072752992434
2019-03-26,757.58,760.75,750.36,757.67,16880530,133757955915,18054140131616,775.946,34.86982739630649,731.6323477469972,775.946,820.2596522530029,11.421839213812,0.29378815476937326
2019-03-27,762.25,762.55,751.74,753.37,24142813,203635231430,17841758194958,772.1195,33.178296751928436,734.3721862015312,772.1195,809.8668137984688,9.777583340005991,0.2516445792659214
2019-03-28,752.33,753.33,732.96,736.33,15046958,109238570143,17441450292515,767.2035,27.487738198308698,738.8776028209153,767.2035,795.5293971790846,7.384193940482461,-0.044969499197299
2019-03-29,741.89,754.26,739.77,753.79,19958275,244886108711,17862702791785,765.0695000000001,39.02743966291145,739.597566053005,765.0695000000001,790.5414339469951,6.658724193552356,0.27858964255576746
2019-04-01,760.01,767.8,757.66,767.45,16212822,170469413964,18162633600316,764.0135,46.23625320054896,740.8826216984725,764.0135,787.1443783015276,6.0550967493447585,0.5742838199916749
2019-04-02,769.47,772.85,763.4,772.68,14377451,157521843324,18287726902654,763.37,48.73534973306129,742.0243062890878,763.37,784.7156937109122,5.59248954266272,0.7180767729099512
2019-04-03,771.8,778.02,769.78,777.89,18637109,132332192696,18405848718073,762.8795,51.170343702652225,743.4256423105833,762.8795,782.3333576894167,5.100112845978097,0.8857975173779022
2019-04-04,776.6,791.15,775.72,790.08,75878022,332156690715,18703476298411,763.4085000000001,56.38972883217779,741.7276685814388,763.4085000000001,785.0893314185614,5.680007864350815,1.1150940313378859
2019-04-05,794.29,812.14,792.47,805.63,99943926,503337737998,19071758020439,765.3925,61.973564912272664,736.9398622488166,765.3925,793.8451377511835,7.434783526408604,1.2070961285184583
2019-04-08,808.82,811.24,799.65,801.22,39487754,231256159058,18969618457226,766.9979999999999,59.641269117341935,734.5449560133402,766.9979999999999,799.4510439866597,8.462354266024093,1.0272540846101756
2019-04-09,801.86,807.14,795.04,797.35,31203226,169224900099,18875123405670,768.4585,57.59292305886104,733.406313605995,768.4585,803.5106863940049,9.122727224438258,0.9121212251247964
2019-04-10,795.18,797.39,790.02,795.59,31576535,181356447473,18840544936306,769.924,56.64019796777434,732.959970241327,769.924,806.8880297586729,9.601994419883768,0.8471753508419626
2019-04-11,799.45,803.38,796.0,797.96,22464765,170005253658,18887241563973,771.5310000000001,57.65600376210213,732.6742811987418,771.5310000000001,810.3877188012583,10.07262671266825,0.8400827555097647
2019-04-12,795.3,802.13,793.76,797.67,19950550,156040303475,18879207144891,773.5295,57.4785588297592,733.6263830916674,773.5295,813.4326169083325,10.317154525672919,0.8024889014993083
2019-04-15,799.68,802.56,790.32,792.27,19230678,133262973010,18743178367211,774.731,54.137401580114016,734.0969030369807,774.731,815.3650969630193,10.489859567519375,0.7158162886696126
2019-04-16,787.55,793.99,785.98,788.47,29525621,182497777826,18650359920406,775.8505,51.85316624217616,734.9983179407752,775.8505,816.7026820592248,10.530941736642507,0.6544531939775592
2019-04-17,790.35,802.66,788.33,800.95,26424435,207410587774,18974879375224,777.688,58.10517392002936,735.804288321114,777.688,819.571711678886,10.771340609315306,0.7776974516769803
2019-04-18,800.66,816.65,795.55,799.18,96761095,517158952891,18971549958931,779.8720000000001,56.97516792206331,738.2897246413806,779.8720000000001,821.4542753586195,10.663871855540249,0.7321662274789107
2019-04-19,799.15,799.94,788.59,791.52,29592507,178697859155,18780230645505,781.3900000000001,52.24026078203547,740.4391059926644,781.3900000000001,822.3408940073358,10.481550572015434,0.6236847234419992
2019-04-22,793.9,798.16,787.15,788.99,25596573,159607653559,18740108147125,783.303,50.740382475475165,744.7558558256252,783.303,821.8501441743748,9.84220516821072,0.5737668136227403
