rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,ord,currency,thstrm_add_amount,연결구분
20200330003444,11011,2019,01412822,BS,재무상태표,ifrs-full_NoncurrentProvisions,비유동충당부채,-,제 1 기,938083408,30,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 1 기,1374392552,31,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 1 기,60205600000,32,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 1 기,353568066473,33,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 1 기,140632108965,35,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 1 기,3960220800,36,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 1 기,127293752427,37,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본항목,-,제 1 기,-36713243,38,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 1 기,5087849112,39,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 1 기,4326999869,40,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 1 기,140632108965,41,KRW,,연결
20200330003444,11011,2019,01412822,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 1 기,494200175438,42,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,ifrs-full_Revenue,영업수익(매출액),-,제 1 기,69994767555,0,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,ifrs-full_CostOfSales,매출원가,-,제 1 기,46395659683,1,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 1 기,23599107872,2,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 1 기,13419835166,3,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 1 기,10179272706,4,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 1 기,1685135817,5,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 1 기,4976117763,6,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,dart_OtherGains,기타영업외수익,-,제 1 기,1483372,7,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,dart_OtherLosses,기타영업외비용,-,제 1 기,39459653,8,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 1 기,6850314479,9,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 1 기,2356895709,10,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,ifrs-full_ProfitLoss,당기순이익(손실),-,제 1 기,4493418770,11,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),-,제 1 기,4493418770,13,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,-표준계정코드 미사용-,보통주기본주당계속영업이익(손실),-,제 1 기,113,18,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,-표준계정코드 미사용-,구형우선주기본주당계속영업이익(손실),-,제 1 기,114,19,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,-표준계정코드 미사용-,보통주희석주당계속영업이익(손실),-,제 1 기,113,22,KRW,,연결
20200330003444,11011,2019,01412822,IS,손익계산서,-표준계정코드 미사용-,구형우선주희석주당계속영업이익(손실),-,제 1 기,114,23,KRW,,연결
20200330003444,11011,2019,01412822,CIS,포괄손익계산서,ifrs-full_ProfitLoss,당기순이익(손실),-,제 1 기,4493418770,0,KRW,,연결
20200330003444,11011,2019,01412822,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncome,기타포괄손익,-,제 1 기,-1347465405,1,KRW,,연결
20200330003444,11011,2019,01412822,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-,제 1 기,-149903201,2,KRW,,연결
