rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분,bfefrmtrm_nm,bfefrmtrm_amount
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 4 기 반기말,833611921351,제 3 기말,771082731189,1,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 4 기 반기말,261716372570,제 3 기말,216213450178,2,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 4 기 반기말,222753106797,제 3 기말,234871002748,3,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 4 기 반기말,78382259415,제 3 기말,56529216867,4,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 4 기 반기말,238176662119,제 3 기말,235095769809,5,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 4 기 반기말,32583520450,제 3 기말,28373291587,6,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 4 기 반기말,1915174771987,제 3 기말,1945092225028,7,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 4 기 반기말,10662816560,제 3 기말,27006667331,8,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 4 기 반기말,1303461802526,제 3 기말,1314793723296,9,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 4 기 반기말,51966376865,제 3 기말,49408072114,10,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,-표준계정코드 미사용-,무형자산,-,제 4 기 반기말,402559715869,제 3 기말,405458847099,11,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 4 기 반기말,139479529555,제 3 기말,141263580357,12,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 4 기 반기말,4827465113,제 3 기말,4406199792,13,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 4 기 반기말,2217065499,제 3 기말,2755135039,14,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 4 기 반기말,2748786693338,제 3 기말,2716174956217,15,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 4 기 반기말,598829061310,제 3 기말,500870658830,17,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 4 기 반기말,185599312887,제 3 기말,163662738848,18,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,-표준계정코드 미사용-,차입금,-,제 4 기 반기말,70538919413,제 3 기말,55205594423,19,KRW,,,,,연결,,
20200813000722,11012,2020,01258507,BS,재무상태표,-표준계정코드 미사용-,사채,-,제 4 기 반기말,230093552987,제 3 기말,159965153933,20,KRW,,,,,연결,,
