Date,IR3TIB01GBM156N
2022-01-01,0.53
2022-02-01,0.81
2022-03-01,0.99
2022-04-01,1.13
2022-05-01,1.31
2022-06-01,1.57
2022-07-01,1.84
2022-08-01,2.23
2022-09-01,2.91
2022-10-01,3.39
2022-11-01,3.52
2022-12-01,3.78
