Date,IR3TIB01GBM156N
2019-01-01,0.91822
2019-02-01,0.87598
2019-03-01,0.84
2019-04-01,0.82
2019-05-01,0.8
2019-06-01,0.78
2019-07-01,0.77
2019-08-01,0.76
2019-09-01,0.77
2019-10-01,0.78
2019-11-01,0.79
2019-12-01,0.79
