날짜,시가,고가,저가,종가,거래량,등락률
2024-04-01,53400,54400,53000,53700,67454,2.091254752851711
2024-04-02,53100,54100,52800,53300,28802,-0.74487895716946
2024-04-03,52900,56700,52800,55000,165313,3.189493433395872
2024-04-04,55400,55500,51900,52800,75629,-4.0
2024-04-05,51800,53300,51600,52700,35583,-0.1893939393939394
2024-04-08,53200,53300,51900,52300,26187,-0.7590132827324478
2024-04-09,52300,53500,52300,53000,37567,1.338432122370937
2024-04-11,52000,53500,50200,51900,56878,-2.0754716981132075
2024-04-12,51500,51900,49900,50600,70623,-2.5048169556840074
2024-04-15,50000,52100,50000,51700,28631,2.1739130434782608
2024-04-16,51100,51100,49650,50200,33065,-2.9013539651837523
2024-04-17,51000,51000,48350,48500,54420,-3.386454183266932
2024-04-18,49450,50500,48850,49600,55734,2.268041237113402
2024-04-19,48800,49600,48250,49400,37619,-0.4032258064516129
2024-04-22,50600,50700,49550,50500,30971,2.2267206477732793
2024-04-23,50000,50900,49350,50100,37100,-0.7920792079207921
2024-04-24,50700,50700,49300,49600,40190,-0.998003992015968
2024-04-25,49150,50300,49150,49600,20982,0.0
2024-04-26,50300,50800,49300,50500,22975,1.8145161290322582
2024-04-29,50700,53300,50700,53300,46486,5.544554455445545
2024-04-30,53400,53600,52700,53400,23059,0.18761726078799248
