BPS,PER,PBR,EPS,DIV,DPS
50817,8.81,1.4,8057,2.03,1444
50817,8.84,1.4,8057,2.03,1444
50817,8.77,1.39,8057,2.04,1444
50817,8.69,1.38,8057,2.06,1444
50817,8.74,1.39,8057,2.05,1444
50817,8.73,1.38,8057,2.05,1444
50817,8.79,1.39,8057,2.04,1444
50817,8.75,1.39,8057,2.05,1444
50817,8.8,1.4,8057,2.04,1444
50817,8.9,1.41,8057,2.01,1444
50817,8.94,1.42,8057,2.01,1444
50817,8.71,1.38,8057,2.06,1444
50817,8.66,1.37,8057,2.07,1444
50817,8.64,1.37,8057,2.07,1444
50817,8.55,1.36,8057,2.1,1444
50817,8.54,1.35,8057,2.1,1444
50817,8.61,1.37,8057,2.08,1444
50817,8.51,1.35,8057,2.1,1444
50817,8.49,1.35,8057,2.11,1444
