날짜,시가,고가,저가,종가,거래량,등락률
2024-06-03,7050,7190,6860,6920,17183,-0.4316546762589928
2024-06-04,6920,7170,6810,6830,24697,-1.300578034682081
2024-06-05,6860,6900,6720,6870,6842,0.5856515373352855
2024-06-07,6860,7360,6800,6940,58002,1.0189228529839884
2024-06-10,6940,7080,6710,6760,27924,-2.5936599423631126
2024-06-11,6760,6990,6710,6800,12349,0.591715976331361
2024-06-12,6800,6830,6650,6810,8213,0.14705882352941177
2024-06-13,6810,6910,6750,6810,7911,0.0
2024-06-14,6830,6830,6680,6740,5089,-1.0279001468428781
2024-06-17,6650,6790,6640,6700,2150,-0.5934718100890208
2024-06-18,6710,6750,6490,6490,9435,-3.134328358208955
2024-06-19,6500,6590,6450,6570,7550,1.2326656394453006
2024-06-20,6570,6760,6540,6570,10180,0.0
2024-06-21,6570,6660,6550,6560,1758,-0.15220700152207
2024-06-24,6480,6510,6400,6440,4998,-1.8292682926829267
2024-06-25,6420,6640,6420,6590,5780,2.329192546583851
2024-06-26,6570,7170,6570,6720,102881,1.9726858877086493
2024-06-27,6750,6900,6680,6760,14228,0.5952380952380952
2024-06-28,6850,6870,6710,6840,7509,1.183431952662722
